SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
PA;1501402;BELEM;60072;P70540;ENEM - UNIFAMAZ - CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA - QUINTINO BOCAIÚVA
PA;1501402;BELEM;60169;P67082;ENEM - UNAMA ALCINDO CACELA
PA;1501402;BELEM;60094;P70239;ENEM - ESCOLA MADRE ZARIFE SALES
PA;1501402;BELEM;60118;P66265;ENEM - EEEFM PROFESSORA PALMIRA GABRIEL
PA;1501402;BELEM;60116;P70890;ENEM - EEEFM BARÃO DE IGARAPÉ MIRI
PA;1501402;BELEM;60091;P64613;ENEM - EEEF ALDEBARO KLAUTAU
PA;1501402;BELEM;60086;P64571;ENEM - COLÉGIO ADVENTISTA - MARAMBAIA
PA;1501402;BELEM;60115;P57967;ENEM - EEEM MAGALHÃES BARATA
PA;1504422;MARITUBA;60052;P60463;ENEM - EEEM FERNANDO FERRARI
PA;1501402;BELEM;60183;P70317;ENEM - ASLAN - CIDADE VELHA
PA;1504422;MARITUBA;60050;P60494;ENEM - EMEIF SUELY FALCÃO
PA;1501402;BELEM;60103;P70852;ENEM - EEEFM MAESTRO WALDEMAR HENRIQUE
PA;1501402;BELEM;60077;P68017;ENEM - LICEU ESCOLA DE ARTES E OFÍCIOS MESTRE RAIMUNDO CARDOSO
PA;1501402;BELEM;60125;P66682;ENEM - EM PADRE LEANDRO PINHEIRO
PA;1501402;BELEM;60089;P70873;ENEM - UNIVERSIDADE FEDERAL DO PARÁ (UFPA) - CAMPUS BÁSICO
PA;1501402;BELEM;60142;P67404;ENEM - EEEF PEDRO CARNEIRO
PA;1501402;BELEM;60138;P68379;ENEM - EEEFM PROFESSORA PLACÍDIA CARDOSO
PA;1501402;BELEM;60161;P73771;ENEM - EEEFM IZABEL DOS SANTOS DIAS
PA;1501402;BELEM;60173;P70718;ENEM - FACULDADE IDEAL (FACI) - WYDEN
PA;1501402;BELEM;60135;P68171;ENEM - COLÉGIO MODELO PARÁ
PA;1501402;BELEM;60148;P66604;ENEM - EEEFM FREI DANIEL
PA;1500800;ANANINDEUA;60015;P61929;ENEM - COLÉGIO ESTADUAL DE ENSINO MÉDIO PROFª MARIA HELENA VALENTE TAVARES
PA;1501402;BELEM;60087;P70881;ENEM - CEFM SOPHOS - COLÉGIO SOPHOS - PARQUE VERDE
PA;1504422;MARITUBA;60059;P60002;ENEM - EEEM NOSSA SENHORA DO ROSÁRIO
PA;1501402;BELEM;60191;P70313;ENEM - ASLAN - GENTIL
PA;1501402;BELEM;60157;P66249;ENEM - EEEFM PROFESSOR MANOEL LEITE CARNEIRO
PA;1500800;ANANINDEUA;60028;P61960;ENEM - EMEF NELSON PEREIRA DIAS
