SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200203;CRUZEIRO DO SUL;10025;F05082;CENTRO SOCIOEDUCATIVO JURUA
AC;1200203;CRUZEIRO DO SUL;10024;F00806;UNIDADE PENITENCIÁRIA MANOEL NERI DA SILVA
AC;1200302;FEIJO;10026;F00944;CENTRO SOCIOEDUCATIVO FEIJÓ
AC;1200401;RIO BRANCO;10016;F00268;UNIDADE DE REGIME FECHADO N 3 DE RIO BRANCO
AC;1200401;RIO BRANCO;10018;F00266;UNIDADE DE REGIME SEMIABERTO N 1 DE RIO BRANCO
AC;1200401;RIO BRANCO;10021;F01594;UNIDADE DE REGIME FECHADO N 2 DE RIO BRANCO
AC;1200401;RIO BRANCO;10020;F01593;UNIDADE DE REGIME FECHADO FEMININO DE RIO BRANCO
AC;1200401;RIO BRANCO;10017;F00945;CENTRO SOCIOEDUCATIVO MOCINHA MAGALHAES
AC;1200401;RIO BRANCO;10013;F01709;CENTRO SOCIOEDUCATIVO SANTA JULIANA
AC;1200401;RIO BRANCO;10014;F00943;CENTRO SOCIOEDUCATIVO ACRE
AC;1200401;RIO BRANCO;10022;F02205;UNIDADE DE REGIME FECHADO  DE RIO BRANCO
AC;1200401;RIO BRANCO;10019;F01364;UNIDADE DE REGIME FECHADO N 1 DE RIO BRANCO
AC;1200401;RIO BRANCO;10015;F01959;CENTRO SOCIOEDUCATIVO AQUIRY
AC;1200500;SENA MADUREIRA;10027;F01101;UNIDADE PENITENCIÁRIA EVARISTO DE MORAES
AC;1200450;SENADOR GUIOMARD;10023;F00560;UNIDADE PENITENCIÁRIA QUINARI
AC;1200609;TARAUACA;10028;F00807;UNIDADE PENITENCIÁRIA MOACIR PRADO
AC;1200609;TARAUACA;10029;F07672;UNIDADE PENITENCIÁRIA FEMININA DE TARAUACÁ
AL;2702900;GIRAU DO PONCIANO;10030;F00615;UNIDADE PRISIONAL DO AGRESTE
AL;2704302;MACEIO;10033;F04625;PRESÍDIO BALDOMERO CAVALCANTI DE OLIVEIRA
AL;2704302;MACEIO;10043;F02524;UNIDADE DE INTERNAÇÃO MASCULINA DE JOVENS E ADULTOS 3
AL;2704302;MACEIO;10031;F01704;UNIDADE DE SEMILIBERDADE MASCULINA
AL;2704302;MACEIO;10041;F01895;CENTRO PSIQUIATRICO JUDICIARIO PEDRO MARINHO SURUAGY  CPJ
AL;2704302;MACEIO;10035;F00307;ESTABELECIMENTO PRISIONAL RUBENS BRAGA QUINTELLA CAVALCANTI  NRC
AL;2704302;MACEIO;10042;F02469;PENITENCIÁRIA DE SEGURANÇA MÁXIMA
AL;2704302;MACEIO;10039;F00118;UNIDADE DE INTERNAÇÃO MASCULINA
AL;2704302;MACEIO;10034;F04626;PRESÍDIO FEMININO SANTA LUZIA
AL;2704302;MACEIO;10045;F02477;UNIDADE DE INTERNAÇÃO MASCULINA DE JOVENS E ADULTOS 2
AL;2704302;MACEIO;10040;F00937;UNIDADE DE INTERNAÇÃO MASCULINA EXTENSÃO
AL;2704302;MACEIO;10032;F00938;UNIDADE DE INTERNAÇÃO MASCULINA EXTENSÃO II
AL;2704302;MACEIO;10036;F07761;PRESIDIO CYRIDIÃO DURVAL E SILVA
AL;2704302;MACEIO;10044;F02476;UNIDADE DE INTERNAÇÃO MASCULINA EXTENSÃO 3
AL;2704302;MACEIO;10037;F07827;COLONIA AGROINDUSTRIAL SAO LEONARDO  SEMI ABERTO
AL;2704302;MACEIO;10038;F01955;UNIDADE DE INTERNAÇÃO JOVENS E ADULTOS UIJA
AL;2707701;RIO LARGO;10046;F02523;UNIDADE DE INTERNAÇÃO PROVISÓRIA  MASCULINA RIO LARGO
AM;1301209;COARI;10047;F01459;UNIDADE PRISIONAL DE COARI
AM;1301704;HUMAITA;10061;F00370;UNIDADE PRISIONAL DE HUMAITA
AM;1301902;ITACOATIARA;10048;F01207;UNIDADE PRISIONAL DE ITACOATIARA
AM;1302603;MANAUS;10056;F00654;INSTITUTO PENAL ANTÔNIO TRINDADE
AM;1302603;MANAUS;10049;F01208;CENTRO DE DETENÇÃO PROVISÓRIA DE MANAUS I
AM;1302603;MANAUS;10055;F01334;CENTRO SOCIOEDUCATIVO DAGMAR FEITOZA
AM;1302603;MANAUS;10053;F03021;ENFERMARIA PSIQUIÁTRICA CPDM I
AM;1302603;MANAUS;10052;F03003;CENTRO DE DETENÇÃO PROVISÓRIA DE MANAUS II
AM;1302603;MANAUS;10050;F00373;UNIDADE PRISIONAL DO PURAQUEQUARA
AM;1302603;MANAUS;10051;F01695;COMPLEXO PENITENCIARIO ANISIO JOBIM  REGIME FECHADO
AM;1302603;MANAUS;10054;F07302;CENTRO DE DETENÇÃO FEMININA  CDF
AM;1302900;MAUES;10057;F00923;UNIDADE PRISIONAL DE MAUES
AM;1303403;PARINTINS;10058;F00111;UNIDADE PRISIONAL DE PARINTINS
AM;1304062;TABATINGA;10059;F01209;UNIDADE PRISIONAL DE TABATINGA
AM;1304203;TEFE;10060;F00369;UNIDADE PRISIONAL DE TEFE
AP;1600303;MACAPA;10064;F00389;TRATAMENTO PENAL DO ESTADO DO AMAPÁ
AP;1600303;MACAPA;10067;F00947;PENITENCIÁRIA MASCULINA DO ESTADO DO AMAPÁ PARA PRESOS EM REGIME FECHADO
AP;1600303;MACAPA;10062;F00932;NUCLEO DE MEDIDA SOCIOEDUCATIVA DE INTERNAÇÃO MASCULINA  CESEIM
AP;1600303;MACAPA;10066;F00946;COLÔNIA PENAL DO ESTADO DO AMAPÁ PARA PRESOS EM REGIME SEMIABERTO
AP;1600303;MACAPA;10065;F00126;CENTRO DE CUSTÓDIA DO ESTADO DO AMAPÁ   PARA PRESOS PROVISÓRIOS
AP;1600303;MACAPA;10063;F02496;NÚCLEO DE MEDIDA SOCIOEDUCATIVA DE INTERNAÇÃO FEMININA  CIFEM
AP;1600303;MACAPA;10068;F01960;PENITENCIÁRIA FEMININA DO ESTADO DO AMAPÁ
BA;2903201;BARREIRAS;10069;F02944;CONJUNTO PENAL DE BARREIRAS
BA;2905701;CAMACARI;10070;F01942;CASE IRMÃ DULCE  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
BA;2910727;EUNAPOLIS;10072;F00866;CONJUNTO PENAL DE EUNÁPOLIS
BA;2910800;FEIRA DE SANTANA;10075;F01410;CONJUNTO PENAL DE FEIRA DE SANTANA
BA;2910800;FEIRA DE SANTANA;10074;F01472;CASE MELLO MATTOS  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
BA;2910800;FEIRA DE SANTANA;10073;F00119;CASE ZILDA ARNS  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
BA;2913606;ILHEUS;10076;F00313;PRESÍDIO ADVOGADO ARISTON CARDOSO
BA;2914802;ITABUNA;10077;F00060;CONJUNTO PENAL DE ITABUNA
BA;2918001;JEQUIE;10078;F01899;CONJUNTO PENAL DE JEQUIÉ
BA;2918407;JUAZEIRO;10079;F01411;CONJUNTO PENAL DE JUAZEIRO
BA;2919207;LAURO DE FREITAS;10080;F01640;CONJUNTO PENAL DE LAURO DE FREITAS
BA;2924009;PAULO AFONSO;10081;F04437;CONJUNTO PENAL DE PAULO AFONSOBA
BA;2927408;SALVADOR;10088;F02942;CONJUNTO PENAL MASCULINO DE SALVADOR
BA;2927408;SALVADOR;10084;F00061;CASA DO ALBERGADO E EGRESSOS
BA;2927408;SALVADOR;10082;F00380;CASE SALVADOR  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
BA;2927408;SALVADOR;10087;F01157;CONJUNTO PENAL FEMININO
BA;2927408;SALVADOR;10090;F00379;CASE CIA  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
BA;2927408;SALVADOR;10092;F00862;HOSPITAL DE CUSTÓDIA E TRATAMENTO
BA;2927408;SALVADOR;10086;F00865;PENITENCIÁRIA LEMOS BRITO
BA;2927408;SALVADOR;10091;F01898;PRESIDIO SALVADOR
BA;2927408;SALVADOR;10083;F00101;CASE FEMININA  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
BA;2927408;SALVADOR;10085;F00312;CADEIA PUBLICA DE SALVADOR
BA;2927408;SALVADOR;10089;F00309;COLONIA LAFAYETE COUTINHO
