SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200104;BRASILEIA;80001;P3166;CENTRO SOCIOEDUCATIVO ALTO ACRE
AC;1200203;CRUZEIRO DO SUL;80002;P5082;CENTRO SOCIOEDUCATIVO JURUA
AC;1200203;CRUZEIRO DO SUL;80003;P806;UNIDADE PENITENCIARIA MANOEL NERI DA SILVA
AC;1200302;FEIJO;80004;P5081;CENTRO SOCIOEDUCATIVO DE FEIJO
AC;1200401;RIO BRANCO;80005;P943;CENTRO SOCIOEDUCATIVO ACRE
AC;1200401;RIO BRANCO;80006;P1959;CENTRO SOCIOEDUCATIVO AQUIRY
AC;1200401;RIO BRANCO;80007;P945;CENTRO SOCIOEDUCATIVO MOCINHA MAGALHAES
AC;1200401;RIO BRANCO;80008;P1709;CENTRO SOCIOEDUCATIVO SANTA JULIANA
AC;1200401;RIO BRANCO;80009;P2205;UNIDADE DE REGIME FECHADO  DE RIO BRANCO
AC;1200401;RIO BRANCO;80010;P1595;UNIDADE DE REGIME FECHADO 1
AC;1200401;RIO BRANCO;80011;P1593;UNIDADE DE REGIME FECHADO FEMININO DE RIO BRANCO
AC;1200401;RIO BRANCO;80012;P1364;UNIDADE DE REGIME FECHADO NO 1 DE RIO BRANCO
AC;1200401;RIO BRANCO;80013;P1594;UNIDADE DE REGIME FECHADO NO 2 DE RIO BRANCO
AC;1200401;RIO BRANCO;80014;P268;UNIDADE DE REGIME FECHADO NO 3 DE RIO BRANCO
AC;1200401;RIO BRANCO;80015;P266;UNIDADE DE REGIME SEMIABERTO NO 1 DE RIO BRANCO
AC;1200401;RIO BRANCO;80016;P2302;UNIDADE PRISIONAL NO 7
AC;1200450;SENADOR GUIOMARD;80019;P560;UNIDADE PENITENCIARIA QUINARI
AC;1200500;SENA MADUREIRA;80017;P385;CENTRO SOCIOEDUCATIVO PURUS
AC;1200500;SENA MADUREIRA;80018;P1101;UNIDADE PENITENCIARIA EVARISTO DE MORAES
AC;1200609;TARAUACA;80020;P7672;UNIDADE PENITENCIARIA FEMININA DE TARAUACA
