SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AM;;MANAUS;;Matutino - COMPUTER LAB (DIGITAL);ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA
AM;;MANAUS;;Matutino - COMPUTER LAB (DIGITAL);ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA
AM;;MANAUS;;Matutino - LABORATÓRIO DE INFORMÁTICA (DIGITAL);ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA
AM;;MANAUS;;Matutino - LABORATÓRIO DE INFORMÁTICA (DIGITAL);ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);CENTRO EDUC SILVIA GUERRA
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);CENTRO EDUC SILVIA GUERRA
AM;;MANAUS;;Matutino - SALA DE INFORMÁTICA (DIGITAL);CENTRO EDUC SILVIA GUERRA
AM;;MANAUS;;Matutino - SALA DE INFORMÁTICA (DIGITAL);CENTRO EDUC SILVIA GUERRA
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);CENTRO EDUCACIONAL ADALBERTO VALLE - UNIDADE I
AM;;MANAUS;;Matutino - SALA 1 (IMPRESSA);CENTRO EDUCACIONAL ADALBERTO VALLE - UNIDADE I
AM;;MANAUS;;Matutino - SALA 2 (IMPRESSA);CENTRO EDUCACIONAL ADALBERTO VALLE - UNIDADE I
AM;;MANAUS;;Matutino - SALA 2 (IMPRESSA);CENTRO EDUCACIONAL ADALBERTO VALLE - UNIDADE I
