SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AL;2700102;ÁGUA BRANCA;60068;G14780;EM JOSE GOMES DE LIMA
AL;2700102;ÁGUA BRANCA;60069;G20302;EM AMERICA FERNANDES TORRES
AL;2700300;ARAPIRACA;60057;G14801;EEF TEMPO INTEGRAL ZELIA BARBOSA ROCHA
AL;2700300;ARAPIRACA;60053;G16465;ALTERNATIVA EEB
AL;2700300;ARAPIRACA;60052;G16559;EXITO COLEGIO
AL;2700300;ARAPIRACA;60055;G18725;COL MULTIVISAO
AL;2700300;ARAPIRACA;60054;G18726;COL CRISTO REDENTOR
AL;2700300;ARAPIRACA;60051;G21691;COL MONTEIRO LOBATO
AL;2700300;ARAPIRACA;60049;G33268;COL ROSA MISTICA
AL;2700300;ARAPIRACA;60050;G9640;COL NORMAL SAO FRANCISCO DE ASSIS
AL;2700300;ARAPIRACA;60056;G9702;COL SANTA CATARINA
AL;2702405;DELMIRO GOUVEIA;60066;G9051;EMEB PROFA VIRGILIA BEZERRA DE LIMA
AL;2702405;DELMIRO GOUVEIA;60067;G9157;EMEF GOV AFRANIO SALGADO LAGES
AL;2702900;GIRAU DO PONCIANO;60059;G12036;EMEB DEPUTADO JOSE MEDEIROS
AL;2702900;GIRAU DO PONCIANO;60060;G16499;EMEB TIRADENTES
AL;2702900;GIRAU DO PONCIANO;60061;G16500;EM VEREADOR ANTONIO ALVES
AL;2702900;GIRAU DO PONCIANO;60062;G29038;EM MAJOR VICENTE RAMOS
AL;2702900;GIRAU DO PONCIANO;60058;G8708;EMEB JOSE DE MESSIAS BARROS - CAIC
AL;2704302;MACEIÓ;60046;G211;CESMAC - ED ALBERTO ANTUNES
AL;2704302;MACEIÓ;70303;G311;CESMAC - FECOM (ANTIGO COL GUIDO)
AL;2704302;MACEIÓ;60047;G311;CESMAC - FECOM (ANTIGO COL GUIDO)
AL;2704708;MARECHAL DEODORO;60048;G31365;EM PROFA LUCAS - EXTENSAO TAPERAGUA
AL;2706307;PALMEIRA DOS ÍNDIOS;60064;G8693;COMPLEXO EDUC AGOSTINIANO
AL;2706307;PALMEIRA DOS ÍNDIOS;60065;G9698;CENTRO EDUC CRISTO REDENTOR
AL;2708006;SANTANA DO IPANEMA;60063;G9675;COL DIVINO MESTRE
BA;2900702;Alagoinhas;9396;P000017511;Faculdade Santo Antônio
BA;2901007;Amargosa;9399;P000017067;Colégio Estadual Santa Bernadete
BA;2902708;Barra;9430;P000008059;Colégio Estadual Doutor Luís Rogério de Souza
BA;2903201;Barreiras;9393;P000009325;Faculdade Dom Pedro II
BA;2903201;Barreiras;9392;P000021823;Colégio São José
BA;2903904;Bom Jesus da Lapa;9394;P000003870;Escola Promove
BA;2904902;Cachoeira;9412;P000004465;Colégio Santíssimo Sacramento
BA;2905206;Caetité;9436;P000005712;Grupo Escolar Senador Ovídio Teixeira
BA;2905206;Caetité;9435;P000012233;Grupo Escolar Professor Waldir Cardozo
BA;2905206;Caetité;9434;P000013134;Dimensão Centro de Estudos
BA;2905701;Camaçari;9431;P000010117;Centro Educacional Maria Quitéria
BA;2907509;Catu;9397;P000005111;Colégio CENECISTA de Catu
BA;2907509;Catu;9398;P000005985;Colégio Estadual Antônio de Deus Seixas
BA;2908408;Conceição do Coité;9400;P000005600;CEPOPP Colégio Estadual Professora Olgarina Pitangueira Pinheiro
BA;2908408;Conceição do Coité;9401;P000005609;Colégio Polivalente de Conceição do Coité
BA;2909802;Cruz das Almas;9413;P000004079;Centro Educacional Cruzalmense (CEC)
BA;2909802;Cruz das Almas;9416;P000007310;CETEP - Centro Territorial de Educação Profissional Recôncavo II  Alberto Torres
BA;2909802;Cruz das Almas;9415;P000007310;CETEP - Centro Territorial de Educação Profissional Recôncavo II  Alberto Torres
BA;2909802;Cruz das Almas;9414;P000007310;CETEP - Centro Territorial de Educação Profissional Recôncavo II  Alberto Torres
BA;2909802;Cruz das Almas;9417;P000007310;CETEP - Centro Territorial de Educação Profissional Recôncavo II  Alberto Torres
BA;2909802;Cruz das Almas;9420;P000007315;Colégio Montessori
BA;2909802;Cruz das Almas;9419;P000018478;Colégio e Curso Lavoisier
BA;2909802;Cruz das Almas;9418;P000021005;Colégio Contemporâneo
BA;2910800;Feira de Santana;9404;P000004967;FTC - Faculdade de Tecnologia e Ciências de Feira de Santana
BA;2910800;Feira de Santana;9405;P000004967;FTC - Faculdade de Tecnologia e Ciências de Feira de Santana
BA;2910800;Feira de Santana;9403;P000004967;FTC - Faculdade de Tecnologia e Ciências de Feira de Santana
BA;2910800;Feira de Santana;9704;P000012416;Colégio Visão
BA;2910800;Feira de Santana;9402;P000012416;Colégio Visão
BA;2910800;Feira de Santana;9406;P000025016;UNEF - Unidade de Ensino Superior
BA;2911709;Guanambi;9437;P000016535;Centro Estadual de Educação Profissional em Saúde e Gestão
BA;2913606;Ilhéus;9443;P000005688;Instituto Nossa Senhora da Piedade
BA;2913606;Ilhéus;9438;P000005692;Colégio da Polícia Militar (CPM) - Rômulo Galvão
BA;2913606;Ilhéus;9439;P000013022;Colégio Impacto
BA;2913606;Ilhéus;9440;P000018913;Faculdade Madre Thaís
BA;2913606;Ilhéus;9441;P000018913;Faculdade Madre Thaís
BA;2913606;Ilhéus;9442;P000018913;Faculdade Madre Thaís
BA;2913606;Ilhéus;9444;P000020446;Universidade Norte do Paraná (UNOPAR)-ILHEUS
BA;2914703;Itaberaba;9407;P000005763;Colégio Estadual Centenário
BA;2914703;Itaberaba;9408;P000021911;Escola Municipal Professora Cora Ribeiro
BA;2914802;Itabuna;9445;P000002211;Colégio Divina Providência
BA;2914802;Itabuna;9613;P000016697;IUNE Educacional UNIME Itabuna Campus II Bloco 3
BA;2914802;Itabuna;9612;P000018348;IUNE - Educacional UNIME Itabuna Campus II Blocos 4
BA;2916005;Itanhém;9452;P000022163;Colégio Polivalente de Itanhém
BA;2916401;Itapetinga;9454;P000002684;Colégio Polivalente de Itapetinga
BA;2916401;Itapetinga;9453;P000007358;Colégio Estadual Alfredo Dutra
BA;2917508;Jacobina;9409;P000001170;Centro Educacional Deocleciano Barbosa de Castro
BA;2918001;Jequié;9447;P000001253;CEEP Régis Pacheco antigo IERP Pavilhão GOT
BA;2918001;Jequié;9446;P000001253;CEEP Régis Pacheco antigo IERP Pavilhão GOT
BA;2918001;Jequié;9448;P000001253;CEEP Régis Pacheco antigo IERP Pavilhão GOT
BA;2918001;Jequié;9449;P000025779;Faculdade de Tecnologia e Ciências Jequié
BA;2918407;Juazeiro;9428;P000000826;Colégio Moura Anglo
BA;2918407;Juazeiro;9426;P000014387;Centro Territorial de Educação Profissional do Sertão do São Francisco
BA;2918407;Juazeiro;9429;P000014391;Escola Municipal Argemiro José da Cruz
BA;2918407;Juazeiro;9427;P000017734;Colégio Decisão
BA;2924009;Paulo Afonso;9410;P000002112;Colégio Estadual Polivalente de Paulo Afonso
BA;2924009;Paulo Afonso;9411;P000018249;Escola Estadual Ministro Oliveira Brito
BA;2925303;Porto Seguro;9433;P000017899;COLEGIO MUNICIPAL PROFESSOR ALVARO HENRIQUE SANTOS
BA;2927408;Salvador;9614;P000000051;Universidade Federal da Bahia (UFBA) - Pavilhão de Aulas Reitor Felipe Serpa (Antigo PAF I)
BA;2927408;Salvador;9615;P000021341;Universidade Federal da Bahia (UFBA) Pavilhão de Aulas da Federação V (PAF V)
BA;2927408;Salvador;9705;P000022772;UNIME Salvador Campus 1
BA;2927408;Salvador;9450;P000022772;UNIME Salvador Campus 1
BA;2928109;Santa Maria da Vitória;9395;P000000943;CEES - Centro Estadual de Educação Santa-Mariense
