SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AM;1301209;COARI;50016;D50001459;UNIDADE PRISIONAL DE COARI
AM;1301704;HUMAITA;50017;D50000370;UNIDADE PRISIONAL DE HUMAITA
AM;1301902;ITACOATIARA;50014;D50001207;UNIDADE PRISIONAL DE ITACOATIARA
AM;1302603;MANAUS;50003;D50000373;UNIDADE PRISIONAL DO PURAQUEQUARA
AM;1302603;MANAUS;50009;D50000654;INSTITUTO PENAL ANTÔNIO TRINDADE
AM;1302603;MANAUS;50001;D50001206;PENITENCIARIA FEMININA DE MANAUS -COMPAJ
AM;1302603;MANAUS;50002;D50001208;CENTRO DE DETENÇÃO PROVISÓRIA DE MANAUS
AM;1302603;MANAUS;50008;D50001334;CENTRO SOCIOEDUCATIVO DAGMAR FEITOZA
AM;1302603;MANAUS;50004;D50001695;COMPLEXO PENITENCIARIO ANISIO JOBIM - REGIME FECHADO
AM;1302603;MANAUS;50005;D50003002;Centro de Detenção Provisório Feminino - CDPF
AM;1302603;MANAUS;50006;D50003003;Centro de Detenção Provisório  masculino CDPM - II
AM;1302603;MANAUS;50007;D50003021;Enfermagem Psiquiátrica masculino
AM;1302603;MANAUS;50010;D50003022;Unidade Prisional do regime semiaberto Feminino - UPSF
AM;1302900;MAUES;50015;D50000923;UNIDADE PRISIONAL DE MAUES
AM;1303403;PARINTINS;50011;D50000111;UNIDADE PRISIONAL DE PARINTINS
AM;1304062;TABATINGA;50012;D50001209;UNIDADE PRISIONAL DE TABATINGA
AM;1304203;TEFE;50013;D50000369;UNIDADE PRISIONAL DE TEFE
CE;2300200;ACARAU;50207;D50000904;CADEIA PÚBLICA DE ACARAÚ
CE;2300309;ACOPIARA;50214;D50000894;CADEIA PÚBLICA DE ACOPIARA
CE;2300705;ALTO SANTO;50188;D50000097;CADEIA PÚBLICA DE ALTO SANTO
CE;2300754;AMONTADA;50212;D50001188;CADEIA PÚBLICA DE AMONTADA
CE;2301000;AQUIRAZ;50156;D50000887;INSTITUTO PENAL FEMININO DESA. AURI MOURA COSTA-IPF
CE;2301000;AQUIRAZ;50157;D50002226;UNIDADE PRISIONAL IRMÃ MARIA IMELDA LIMA PONTES
CE;2301000;AQUIRAZ;50158;D50002984;Centro de Detenção Provisória
CE;2301109;ARACATI;50206;D50001923;CADEIA PUBLICA DE ARACATI
CE;2301208;ARACOIABA;50208;D50000358;CADEIA PÚBLICA DE ARACOIABA
CE;2301406;ARATUBA;50201;D50000091;CADEIA PÚBLICA DE ARATUBA
CE;2301901;BARBALHA;50204;D50000340;CADEIA PUBLICA DE BARBALHA
CE;2301901;BARBALHA;50205;D50002283;CADEIA PUBLICA DE JUAZEIRO DO NORTE - MASCULINA
CE;2302107;BATURITE;50202;D50000899;CADEIA PÚBLICA DE BATURITÉ
CE;2302305;BELA CRUZ;50182;D50001425;CADEIA PÚBLICA DE BELA CRUZ
CE;2302404;BOA VIAGEM;50177;D50000617;CADEIA PÚBLICA DE BOA VIAGEM
CE;2302503;BREJO SANTO;50209;D50001438;CADEIA PÚBLICA DE BREJO SANTO
CE;2302800;CANINDE;50139;D50001178;CADEIA PÚBLICA DE CANINDÉ
CE;2302909;CAPISTRANO;50169;D50000088;CADEIA PÚBLICA DE CAPISTRANO
CE;2303006;CARIDADE;50176;D50000867;CADEIA PÚBLICA DE CARIDADE
CE;2303501;CASCAVEL;50149;D50001427;CADEIA PÚBLICA DE CASCAVEL
CE;2303709;CAUCAIA;50215;D50000360;CASA DE PRIVAÇÃO PROVISÓRIA DE LIBERDADE DES. FCO ADALBERTO OLIVEIRA BARROS LEAL
CE;2303709;CAUCAIA;50216;D50000900;CADEIA PÚBLICA DE CAUCAIA
CE;2303808;CEDRO;50191;D50000093;CADEIA PÚBLICA DE CEDRO
CE;2304103;CRATEUS;50137;D50000913;UNIDADE DE SEMILIBERDADE DA REGIÃO DE CRATEÚS
CE;2304103;CRATEUS;50138;D50001933;CADEIA PÚBLICA DE CRATEÚS
CE;2304202;CRATO;50146;D50001435;CADEIA PÚBLICA DE CRATO
CE;2304236;CROATA;50181;D50001443;CADEIA PÚBLICA DE CROATÁ
CE;2304400;FORTALEZA;50196;D50000102;CENTRO EDUCACIONAL PATATIVA DO ASSARÉ
CE;2304400;FORTALEZA;50194;D50000362;CENTRO EDUCACIONAL CARDEAL ALOÍSIO LORSCHEIDER
CE;2304400;FORTALEZA;50199;D50000914;CENTRO EDUCACIONAL SÃO FRANCISCO
CE;2304400;FORTALEZA;50197;D50000915;CENTRO SOCIOEDUCATIVO PASSARÉ
CE;2304400;FORTALEZA;50192;D50001194;CENTRO EDUCACIONAL ALDACI BARBOSA MOTA
CE;2304400;FORTALEZA;50200;D50001195;CENTRO EDUCACIONAL SÃO MIGUEL
CE;2304400;FORTALEZA;50195;D50001450;SEMILIBERDADE MÁRTIR FRANCISCA
CE;2304400;FORTALEZA;50198;D50001682;CENTRO EDUCACIONAL DOM BOSCO
CE;2304400;FORTALEZA;50193;D50002539;CENTRO SOCIOEDUCATIVO CANINDEZINHO
CE;2304459;FORTIM;50147;D50001441;CADEIA PÚBLICA DE FORTIM
CE;2305001;GUARACIABA DO NORTE;50213;D50001433;CADEIA PÚBLICA DE GUARACIABA DO NORTE
CE;2305308;IBIAPINA;50180;D50001660;CADEIA PÚBLICA DE IBIAPINA
CE;2305407;ICO;50174;D50000094;CADEIA PÚBLICA DE ICÓ
CE;2305506;IGUATU;50136;D50000912;UNIDADE DE SEMILIBERDADE REGIONAL DE IGUATU
CE;2305506;IGUATU;50135;D50001431;CADEIA PÚBLICA DE IGUATÚ
CE;2305803;IPU;50173;D50000090;CADEIA PÚBLICA DE IPÚ
CE;2306256;ITAITINGA;50159;D50000631;CASA DE PRIVAÇÃO PROVISÓRIA DE LIBERDADE  AGENTE LUCIANO ANDRADE LIMA
CE;2306256;ITAITINGA;50160;D50000633;CASA DE PRIVAÇÃO PROVISORIA DE LIBERDADE-CPPL-II
CE;2306256;ITAITINGA;50161;D50000896;INSTITUTO PSIQUIÁTRICO GOVERNADOR STÊNIO GOMES
CE;2306256;ITAITINGA;50162;D50000903;INSTITUTO PRESÍDIO PROFESSOR OLAVO OLIVEIRA II
CE;2306256;ITAITINGA;50163;D50001429;CASA DE PRIVAÇÃO PROVISORIA DE LIBERDADE-CPPL-III
CE;2306256;ITAITINGA;50164;D50001924;CASA DE PRIVAÇÃO PROVISÓRIA DE LIBERDADE AGENTE PENITENCIÁRIO ELIAS ALVES DA SILVA
CE;2306256;ITAITINGA;50165;D50002526;CENTRO DE EXECUÇÃO PENAL E INTEGRAÇÃO SOCIAL VASCO DAMASCENO WEYNE
CE;2306256;ITAITINGA;50166;D50002569;CENTRO DE TRIAGEM E OBSERVAÇÃO CRIMINOLÓGICA
CE;2306256;ITAITINGA;50167;D50002983;Unidade Prisional Professor José Sobreira de Amorim
CE;2306306;ITAPAJE;50152;D50000907;CADEIA PÚBLICA DE ITAPAJÉ
CE;2306405;ITAPIPOCA;50134;D50001430;CASA DO ALBERGADO DE ITAPIPOCA
CE;2306504;ITAPIUNA;50178;D50001661;CADEIA PÚBLICA DE ITAPIÚNA
CE;2306553;ITAREMA;50148;D50001432;CADEIA PÚBLICA DE ITAREMA
CE;2306900;JAGUARIBE;50133;D50001434;CADEIA PÚBLICA DE JAGUARIBE
CE;2307007;JAGUARUANA;50211;D50000338;CADEIA PÚBLICA DE JAGUARUANA
CE;2307205;JATI;50154;D50000341;CADEIA PÚBLICA DE JATI
CE;2307304;JUAZEIRO DO NORTE;50141;D50000650;CENTRO SOCIOEDUCATIVO JOSÉ BEZERRA DE MENEZES
CE;2307304;JUAZEIRO DO NORTE;50142;D50000911;CENTRO DE SEMILIBERDADE REGIONAL DE JUAZEIRO DO NORTE
CE;2307304;JUAZEIRO DO NORTE;50144;D50001181;CADEIA PÚBLICA DE JUAZEIRO DO NORTE
CE;2307304;JUAZEIRO DO NORTE;50143;D50001927;PENITENCIÁRIO INDUSTRIAL REGIONAL DO CARIRI
CE;2307601;LIMOEIRO DO NORTE;50189;D50000352;CADEIA PÚBLICA DE LIMOEIRO DO NORTE
CE;2307650;MARACANAU;50217;D50001921;CADEIA PUBLICA DE MARACANAU
CE;2307700;MARANGUAPE;50218;D50000644;CADEIA PÚBLICA DE MARANGUAPE
CE;2308005;MASSAPE;50130;D50001180;CADEIA PÚBLICA DE MASSAPÊ
CE;2308104;MAURITI;50155;D50000346;CADEIA PÚBLICA DE MAURITÍ
CE;2308500;MOMBACA;50187;D50001917;CADEIA PÚBLICA DE MOMBAÇA
CE;2308708;MORADA NOVA;50171;D50000092;CADEIA PÚBLICA DE MORADA NOVA
CE;2309458;OCARA;50153;D50000339;CADEIA PUBLICA DE OCARA
CE;2309706;PACATUBA;50175;D50001922;PENITENCIÁRIA FRANCISCO HÉLIO VIANA DE ARAÚJO - PFHVA
CE;2309805;PACOTI;50203;D50001903;CADEIA PÚBLICA DE PACOTI
CE;2310100;PALMACIA;50140;D50000361;CADEIA PÚBLICA DE PALMÁCIA
CE;2310852;PINDORETAMA;50145;D50000355;CADEIA PÚBLICA DE PINDORETAMA
CE;2311306;QUIXADA;50131;D50000891;CADEIA PÚBLICA DE QUIXADÁ
CE;2311504;QUIXERE;50190;D50002288;CADEIA PUBLICA DE QUIXERÉ
CE;2311801;RUSSAS;50170;D50000081;CADEIA PÚBLICA DE RUSSAS
CE;2312205;SANTA QUITERIA;50150;D50000643;CADEIA PÚBLICA DE SANTA QUITÉRIA
CE;2312601;SAO LUIS DO CURU;50219;D50001663;CADEIA PÚBLICA DE SÃO LUÍS DO CURU
CE;2312908;SOBRAL;50185;D50000085;CADEIA PÚBLICA DE SOBRAL
CE;2312908;SOBRAL;50186;D50000349;PENITENCIÁRIO INDUSTRIAL REGIONAL DE SOBRAL
CE;2312908;SOBRAL;50183;D50000916;CENTRO SOCIOEDUCATIVO DR. ZEZINHA PARENTE
CE;2312908;SOBRAL;50184;D50001683;UNIDADE DE SEMILIBERDADE DE SOBRAL
CE;2313104;TABULEIRO DO NORTE;50132;D50001182;CADEIA PÚBLICA DE TABULEIRO DO NORTE
CE;2313609;UBAJARA;50210;D50001672;CADEIA PÚBLICA DE UBAJARA
CE;2313757;UMIRIM;50179;D50001925;CADEIA PÚBLICA DE UMIRIM
CE;2313807;URUBURETAMA;50172;D50001934;CADEIA PUBLICA DE URUBURETAMA
CE;2314003;VARZEA ALEGRE;50151;D50000906;CADEIA PÚBLICA DE VÁRZEA ALEGRE
CE;2314102;VICOSA DO CEARA;50168;D50001675;CADEIA PÚBLICA DE VIÇOSA DO CEARÁ
ES;3200607;ARACRUZ;50317;D50000432;CENTRO DE DETENÇÃO PROVISÓRIA DE ARACRUZ (CDPA)
ES;3200904;BARRA DE SAO FRANCISCO;50289;D50000172;PENITENCIÁRIA REGIONAL DE BARRA DE SÃO FRANCISCO
ES;3201209;CACHOEIRO DE ITAPEMIRIM;50285;D50000110;UNIDADE DE INTERNAÇÃO PROVISÓRIA REGIONAL SUL
ES;3201209;CACHOEIRO DE ITAPEMIRIM;50286;D50000652;UNIDADE DE INTERNAÇÃO REGIONAL SUL
ES;3201209;CACHOEIRO DE ITAPEMIRIM;50288;D50000714;PENITENCIÁRIA REGIONAL DE CACHOEIRO DE ITAPEMIRIM
ES;3201209;CACHOEIRO DE ITAPEMIRIM;50284;D50001516;CENTRO PRISIONAL FEMININO DE CACHOEIRO DE ITAPEMIRIM
ES;3201209;CACHOEIRO DE ITAPEMIRIM;50287;D50002510;CENTRO DE DETENÇÃO PROVISÓRIA DE CACHOEIRO DE ITAPEMIRIM - CDPCI
ES;3201308;CARIACICA;50291;D50000653;UNIDADE DE INTERNAÇÃO SOCIOEDUCATIVA - UNIS
ES;3201308;CARIACICA;50292;D50000922;UNIDADE DE INTERNAÇÃO PROVISÓRIA - UNIP-II
ES;3201308;CARIACICA;50295;D50001196;CENTRO SOCIOEDUCATIVO DE ATENDIMENTO AO ADOLESCENTE EM CONFLITO COM A LEI - CSE
ES;3201308;CARIACICA;50290;D50001271;PENITENCIÁRIA SEMIABERTA DE CARIACICA
ES;3201308;CARIACICA;50293;D50001458;UNIDADE FEMININA DE INTERNAÇÃO - UFI
ES;3201308;CARIACICA;50296;D50001493;PENITENCIÁRIA FEMININA DE CARIACICA
ES;3201308;CARIACICA;50294;D50001694;UNIDADE DE INTERNAÇÃO PROVISORIA - UNIP -I
ES;3201506;COLATINA;50312;D50000434;PENITENCIÁRIA DE SEGURANÇA MÉDIA DE COLATINA
ES;3201506;COLATINA;50313;D50000464;CENTRO DE DETENÇÃO PROVISÓRIO DE COLATINA
ES;3201506;COLATINA;50315;D50000716;PENITENCIÁRIA SEMIABERTA MASCULINA DE COLATINA
ES;3201506;COLATINA;50314;D50002015;CENTRO PRISIONAL FEMININO DE COLATINA
ES;3202405;GUARAPARI;50318;D50000696;CENTRO DE DETENÇÃO PROVISÓRIA DE GUARAPARI
ES;3203205;LINHARES;50280;D50000151;CENTRO DE RESSOCIALIZAÇÃO DE LINHARES
ES;3203205;LINHARES;50281;D50000173;PENITENCIÁRIA REGIONAL DE LINHARES
ES;3203205;LINHARES;50278;D50001693;UNIDADE DE INTERNAÇÃO PROVISORIA REGIONAL NORTE
ES;3203205;LINHARES;50279;D50001945;UNIDADE DE INTERNAÇÃO REGIONAL NORTE
ES;3203320;MARATAIZES;50319;D50001519;CENTRO DE DETENÇÃO PROVISÓRIA DE MARATAÍZES
ES;3204658;SAO DOMINGOS DO NORTE;50316;D50001496;CENTRO DE DETENÇÃO PROVISÓRIA DE SÃO DOMINGOS DO NORTE
ES;3204906;SAO MATEUS;50276;D50001249;CENTRO DE DETENÇÃO PROVISÓRIA DE SÃO MATEUS (CDP-SM)
ES;3204906;SAO MATEUS;50277;D50001517;PENITENCIÁRIA REGIONAL DE SÃO MATEUS
ES;3205002;SERRA;50283;D50000465;CENTRO DE DETENÇÃO PROVISORIA DE SERRA
ES;3205002;SERRA;50282;D50002511;UNIDADE DE SEMILIBERDADE SERRA
ES;3205101;VIANA;50300;D50000433;PENITENCIÁRIA DE SEGURANÇA MÉDIA II
ES;3205101;VIANA;50301;D50001250;PENITENCIÁRIA DE SEGURANÇA MÁXIMA I
ES;3205101;VIANA;50297;D50001515;CENTRO DE DETENÇÃO DE VIANA II
ES;3205101;VIANA;50302;D50001734;PENITENCIÁRIA DE SEGURANÇA MÁXIMA II
ES;3205101;VIANA;50298;D50002014;PENITENCIÁRIA DE SEGURANÇA MÉDIA I
ES;3205101;VIANA;50299;D50002016;PENITENCIÁRIA AGRÍCOLA DO ESPÍRITO SANTO
