SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
RO;1100023;ARIQUEMES;121;F15662;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO ANÍSIO TEIXEIRA
RO;1100023;ARIQUEMES;120;F06680;EEEMTI HEITOR VILLA-LOBOS
RO;1100122;JI-PARANA;126;F15765;EEEFM JUSCELINO KUBISTCHECK DE OLIVEIRA
RO;1100122;JI-PARANA;125;F06906;CEEJA TERESA MITSUKO TUSTUMI
RO;1100122;JI-PARANA;122;F11460;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO RIO URUPÁ
RO;1100122;JI-PARANA;127;F07056;ESCOLA ESTADUAL ENSINO FUNDAMENTAL E MÉDIO ALUIZIO FERREIRA
RO;1100122;JI-PARANA;124;F06751;EEEFM PROF. JOSÉ FRANCISCO DOS SANTOS
RO;1100122;JI-PARANA;123;F15773;FACULDADE ESTÁCIO UNIJIPA
RO;1100205;PORTO VELHO;133;F07535;EEEB PROF JOAO BENTO DA COSTA
RO;1100205;PORTO VELHO;129;F15746;CENTRO UNIVERSITÁRIO SÃO LUCAS
RO;1100205;PORTO VELHO;130;F15774;FACULDADE SÃO LUCAS - CAMPUS 2
RO;1100205;PORTO VELHO;131;F07707;EEEF JORGE VICENTE SALAZAR DOS SANTOS
RO;1100205;PORTO VELHO;132;F11383;E.M.E.F JOAQUIM VICENTE RONDON
RO;1100205;PORTO VELHO;135;F07270;EEEFM PROF FLORA CALHEIROS COTRIN
RO;1100205;PORTO VELHO;134;F10545;EEEMTI BRASILIA
RO;1100205;PORTO VELHO;128;F15746;CENTRO UNIVERSITÁRIO SÃO LUCAS
RO;1100304;VILHENA;137;F15578;EEEMTI MARECHAL RONDON
RO;1100304;VILHENA;138;F11194;COLÉGIO TIRADENTES DA POLÍCIA MILITAR - CTPM V
RO;1100304;VILHENA;136;F11962;E.E.E.F.M ÁLVARES DE AZEVEDO
AC;1200203;CRUZEIRO DO SUL;98;F06647;ESCOLA ESTADUAL DE ENSINO MÉDIO INTEGRAL CRAVEIRO COSTA
AC;1200203;CRUZEIRO DO SUL;99;F06657;ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR FLODOARDO CABRAL
AC;1200401;RIO BRANCO;103;F15740;COLÉGIO MILITAR DOM PEDRO II
AC;1200401;RIO BRANCO;101;F07111;INSTITUTO DE EDUCAÇÃO LOURENÇO FILHO
AC;1200401;RIO BRANCO;106;F15681;ESTACIO UNIMETA
AC;1200401;RIO BRANCO;104;F06691;ESCOLA DE ENSINO FUNDAMENTAL I FRANCISCO SALGADO FILHO
AC;1200401;RIO BRANCO;105;F06652;ESCOLA ESTADUAL  DE ENSINO FUNDAMENTAL E MÉDIO PE DIOGO FEIJÓ
AC;1200401;RIO BRANCO;102;F06637;ESCOLA DE ENSINO MÉDIO INTEGRAL GLÓRIA PEREZ
AC;1200401;RIO BRANCO;100;F06631;COLÉGIO ESTADUAL BARÃO DO RIO BRANCO- CERB
AM;1301209;COARI;140;F15829;ESCOLA ESTADUAL INÊS DE NAZARÉ VIEIRA
AM;1301209;COARI;139;F15805;NÚCLEO DE ENSINO SUPERIOR DE COARI
AM;1301902;ITACOATIARA;141;F15718;ESCOLA ESTADUAL PROFESSORA BEREZITH NASCIMENTO DA SILVA
AM;1301902;ITACOATIARA;142;F15720;ESCOLA ESTADUAL MARIA IVONE DE ARAUJO LEITE
AM;1302405;LABREA;143;F15768;ESCOLA ESTADUAL EDUCANDÁRIO SANTA RITA
AM;1302603;MANAUS;155;F08787;ESCOLA ESTADUAL PROF JOSÉ BERNARDINO LINDOSO
AM;1302603;MANAUS;148;F15871;UNIVERSIDADE NILTON LINS - COMPLEXO DE ARQUITETURA E ENGENHARIAS
