SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
ECU;;QUITO;;;Instituto Brasileiro Equatoriano de Cultura - IBEC
ESA;;SAN SALVADOR;;;Centro Cultural Brasil - El Salvador
AP;;MACAPA;;;Universidade Federal do Amapá-UNIFAP
PA;;BELEM;;;Universidade Federal do Pará-UFPA
RSA;;PRETORIA;;;Centro Cultural Brasil - África do Sul
KOR;;BUSAN;;;Busan University of Foreign Studies
CHI;;SANTIAGO;;;CENTRO CULTURAL BRASIL-CHILE - CCBRACH
PR;;CURITIBA;;;Universidade Federal do Paraná-UFPR
SWI;;ZURIQUE;;;Instituto Cultural Brasileiro de Zurique
COL;;BOGOTA;;;INSTITUTO DE CULTURA BRASIL-COLÔMBIA - IBRACO - BOGOTÁ
ESP;;SALAMANCA;;;Centro de Estudos Brasileiros - Universidade de Salamanca
ARG;;SANTA FE;;;Universidade Nacional del Litoral - UNL
CRC;;SAO JOSE;;;Fundação de Cultura, Difusão e Estudos Brasileiros-FCDEB-São José
RS;;IJUI;;;Universidade Regional do Noroeste do Estado do RS-UNIJUI
ARG;;BUENOS AIRES;;;Centro Cultural Brasil - Argentina - CCBA
MOZ;;MAPUTO;;;Centro Cultural Brasil - Moçambique
MEX;;CIUDAD DE MEXICO;;;Casa do Brasil en México
ES;;VITORIA;;;Universidade Federal do Espírito Santo - UFES
RS;;SANTA CRUZ DO SUL;;;Universidade de Santa Cruz do Sul - UNISC
MG;;ALFENAS;;;LH Certificadora de Idiomas
ESP;;BARCELONA;;;Centro Cultural do Brasil em Barcelona
GUY;;GEORGETOWN;;;Centro Cultural Brasil- Guiana
SUR;;PARAMARIBO;;;CENTRO CULTURAL BRASIL-SURINAME
BA;;SALVADOR;;;Universidade Federal da Bahia-UFBA
RS;;SANTA MARIA;;;Universidade Federal de Santa Maria-UFSM
COL;;ESTADO DEL AMAZONAS;;;INSTITUTO DE CULTURA BRASIL-COLÔMBIA - IBRACO - LETICIA
LIB;;ASHRAFIEH;;;Centro Cultural Brasil-Líbano
MEX;;CIUDAD DE MEXICO;;;Centro Cultural Brasil-México
AUT;;SALZBURGO;;;Universität Salzburg
BOL;;SANTA CRUZ;;;UNIVERSIDAD TECNOLÓGICA PRIVADA DE SANTA CRUZ DE LA SIERRA - UTEPSA
DOM;;SANTO DOMINGO;;;CENTRO CULTURAL BRASIL-REPÚBLICA DOMINICANA
STP;;SAO TOME;;;Centro Cultural Brasil - São Tomé e Príncipe
GBS;;BISSAU;;;Centro Cultural Brasil - Guiné Bissau
BOL;;LA PAZ;;;CENTRO CULTURAL BRASIL-BOLÍVIA
URU;;MONTEVIDEU;;;INSTITUTO DE CULTURA URUGUAIO-BRASILEIRO - ICUB
COL;;ANTIOQUIA;;;INSTITUTO DE CULTURA BRASIL-COLÔMBIA - IBRACO - MEDELLÍN
RR;;BOA VISTA;;;Universidade Federal de Roraima-UFRR
PAR;;ASUNCION;;;ILPOR - Centro de Idiomas
PAR;;ASUNCION;;;CENTRO DE ESTUDOS BRASILEIROS EM ASSUNÇÃO
ITA;;ROMA;;;Centro Cultural Brasil - Itália
RS;;ERECHIM;;;Universidade Regional Integrada do Alto Uruguai e da Missões-URI
GER;;JENA;;;Friedrich-Schiller-Universitat Jena
FRA;;NANTES;;;Université de Nantes
ANG;;LUANDA;;;Centro Cultural Brasil - Angola
NCA;;MANAGUA;;;CENTRO CULTURAL BRASIL-NICARÁGUA - CCBN
ESP;;MADRI;;;COLÉGIO MAYOR - CASA DO BRASIL
CPV;;PRAIA;;;Centro Cultural Brasil - Cabo Verde
URU;;MONTEVIDEU;;;Administración Nacional de Educación Pública - ANEP
ISR;;TEL AVIV;;;Centro Cultural Brasileiro em Tel Aviv 
FIN;;HELSINQUE;;;Centro Cultural Brasil-Finlândia - CCBF
ARG;;BUENOS AIRES;;;UNIVERSIDAD DE BUENOS AIRES - CENTRO UNIVERSITÁRIO DE IDIOMAS (CUI)
NOR;;OSLO;;;Elo Cultural 
SVK;;BRATISLAVA;;;PORTUGALSKÝ IN¿TITÚT
SE;;SAO CRISTOVAO;;;Universidade Federal de Sergipe - UFS
FRA;;CLERMONT-FERRAND;;;UNIVERSITÉ BLAISE PASCAL (CLEMONT II)
GBR;;LONDRES;;;EMBASSY OF BRAZIL IN LONDON
