SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
PA;1504208;MARABA;50078;;EMEF PROFESSOR JONATHAS PONTES ATHIAS
PI;2210003;SAO JOAO DO PIAUI;50183;;INSTITUTO FEDERAL DO PIAUÍ- CAMPUS SÃO JOÃO DO PIAUÍ
PA;1508126;ULIANOPOLIS;50067;;EMEF VALE DO GURUPIZINHO
PA;1501709;BRAGANCA;50022;;UNIVERSIDADE FEDERAL DO PARÁ UFPA CAMPUS UNIVERSITÁRIO DE BRAGANÇA
MS;5003207;CORUMBA;50424;;IF DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA MS CORUMBÁ
MS;5008404;VICENTINA;50450;;E. E. PADRE JOSÉ DANIEL
MA;2112803;VIANA;50347;;CENTRO DE ENSINO RAIMUNDO MARCELINO CAMPELO
PE;2602605;BREJO DA MADRE DE DEUS;50364;;EREM ANDRÉ CORDEIRO
PE;2604007;CARPINA;50382;;ESCOLA DE REFERÊNCIA EM ENSINO MÉDIO JOAQUIM OLAVO
PE;2604304;CEDRO;50383;;EREM PROFESSOR MANOEL JOAQUIM LEITE
AM;1301100;CAREIRO;50137;;NÚCLEO DE ENSINO SUPERIOR CAREIRO - UEA
AM;1303205;NOVO AIRAO;50123;;ESCOLA ESTADUAL JOAQUIM DE PAULA
RR;1400100;BOA VISTA;50168;;COLÉGIO ESTADUAL MILITARIZADO DOUTOR LUIZ RITTLER BRITO DE LUCENA
AM;1300706;BOCA DO ACRE;50114;;ESCOLA ESTADUAL BARÃO DE BOCA DO ACRE
PI;2202307;CANTO DO BURITI;50176;;CEEP MARIA CHAVES
MT;5106240;NOVA UBIRATA;50248;;ESCOLA MUNICIPAL TANCREDO NEVES
SE;2806701;SAO CRISTOVAO;50287;;CENTRO DE EXCELÊNCIA PROF. HAMILTON ALVES ROCHA
SE;2807402;TOBIAS BARRETO;50289;;IFS - CAMPUS TOBIAS BARRETO
MA;2103000;CAXIAS;50318;;UNIFACEMA
MA;2104800;GRAJAU;50296;;C. E. NICOLAU DINO
MT;5103254;COLNIZA;50235;;ESCOLA ESTADUAL BERNARDINO GOMES DA LUZ
MA;2114007;ZE DOCA;50338;;UNIDADE ESCOLAR MUNICIPAL JOSÉ MIRANDA BRAZ
CE;2300200;ACARAU;50523;;EEMTI MARIA ALICE RAMOS GOMES
PB;2505105;CUITE;50484;;UFCG - CAMPUS CUITÉ
CE;2302206;BEBERIBE;50540;;EM DESEMBARGADOR PEDRO DE QUEIROZ
CE;2307502;LAVRAS DA MANGABEIRA;50546;;EEIF VIRGILIO DE AGUIAR GURGEL
RS;4323002;VIAMAO;51117;;E.E.E.M GOVERNADOR WALTER JOBIM
BA;2930501;SERRINHA;50787;;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO - CAMPUS SERRINHA
BA;2932903;VALENCA;50799;;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA - CAMPUS VALENÇA
RS;4311809;MARAU;51124;;FACULDADE CESURG MARAU
RS;4315602;RIO GRANDE;51143;;IFRS CAMPUS RIO GRANDE
BA;2933604;XIQUE-XIQUE;50803;;UNIVERSIDADE DO ESTADO DA BAHIA (UNEB) - DEPARTAMENTO DE CIÊNCIAS HUMANAS E TECNOLOGIAS (DCHT) - CAMPUS XXIV
