SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200401;RIO BRANCO;40024;G37614;IFAC - CAMPUS RIO BRANCO
AC;1200401;RIO BRANCO;40025;G43058;SENAI - ESCOLA CEL AUTON FURTADO
AC;1200401;RIO BRANCO;40026;G14471;UNINORTE - UNIAO EDUC DO NORTE
AC;1200401;RIO BRANCO;40027;G14471;UNINORTE - UNIAO EDUC DO NORTE
AC;1200401;RIO BRANCO;40028;G14471;UNINORTE - UNIAO EDUC DO NORTE
AC;1200401;RIO BRANCO;40029;G28720;UNIV ESTACIO UNIMETA
AL;2700300;ARAPIRACA;40157;G46006;PLAY EDUCACAO
AL;2700300;ARAPIRACA;40158;G43016;COL SANTA AFRA
AL;2700300;ARAPIRACA;40159;G11782;EMEFTI PROF BENILDO BARBOSA MEDEIROS
AL;2700300;ARAPIRACA;40160;G11784;EMEF PROF JAYME DE ALTAVILLA
AL;2700300;ARAPIRACA;40161;G920;EEEB PROFA IZAURA ANTONIA DE LISBOA
AL;2700300;ARAPIRACA;40162;G9485;EEB PROF PEDRO DE FRANCA REIS
AL;2700300;ARAPIRACA;40163;G11667;EM PROFA CLAUDECY BISPO DOS SANTOS
AL;2700300;ARAPIRACA;40164;G12127;UFAL CAMPUS ARAPIRACA
AL;2700300;ARAPIRACA;40165;G16467;EEFTI JOSE URSULINO MALAQUIAS
AL;2700300;ARAPIRACA;40166;G14803;EEF TIBURCIO VALERIANO DA SILVA
AL;2700300;ARAPIRACA;40167;G42992;IF DE ALAGOAS - CAMPUS ARAPIRACA
AL;2704302;MACEIO;40168;G11866;EE DR RODRIGUEZ DE MELO
AL;2704302;MACEIO;40169;G49331;EM PROFA MARIA JOSE CARRASCOSA
AL;2704302;MACEIO;40170;G31748;FAC ESTACIO DE ALAGOAS - FAL
AL;2704302;MACEIO;40171;G853;EE PROF THEOTONIO VILELA BRANDAO
AL;2704302;MACEIO;40172;G49335;COL ROSALVO RIBEIRO
AL;2704302;MACEIO;40173;G16519;EMEF KATIA PIMENTEL ASSUNCAO
AL;2704302;MACEIO;40174;G16521;EM PROF LENILTO ALVES SANTOS
AL;2704302;MACEIO;40175;G857;EE DR FERNANDES LIMA
AL;2704302;MACEIO;40176;G9678;CENTRO UNIVERSITARIO MARIO PONTES JUCA - FAT
AL;2704302;MACEIO;40177;G41425;EM DR POMPEU SARMENTO
AL;2704302;MACEIO;40178;G16390;FAC MAURICIO DE NASSAU - UNIDADE FAROL
AL;2704302;MACEIO;40179;G9489;CAMPUS I ED PROF EDUARDO ALMEIDA CESMAC
AL;2704302;MACEIO;40180;G12635;EE PROF EDMILSON DE VASCONCELOS PONTES
AL;2704302;MACEIO;40181;G338;CESMAC - FAC DE DIREITO
AL;2704302;MACEIO;40182;G311;CESMAC - FECOM
AL;2704302;MACEIO;40183;G843;EE DOM PEDRO II - CEPA
AL;2704302;MACEIO;40184;G844;EE PRINCESA ISABEL
AL;2704302;MACEIO;40185;G850;EE MOREIRA E SILVA
AL;2704302;MACEIO;40186;G46714;PLAY EDUCACAO
AL;2704302;MACEIO;40187;G11959;EE PROFA MARIA DA SALETE GUSMAO DE ARAUJO
AL;2704302;MACEIO;40188;G9560;EE GERALDO MELO DOS SANTOS
AL;2704302;MACEIO;40189;G20309;FAC PITAGORAS
AL;2704302;MACEIO;40190;G914;EE ONELIA CAMPELO
AL;2704302;MACEIO;40191;G22162;EE PROFA JOSEFA CONCEICAO DA COSTA
AL;2704302;MACEIO;40192;G5385;FAC DA CIDADE DE MACEIO - FACIMA
AL;2704302;MACEIO;40193;G211;CAMPUS II- ED ALBERTO ANTUNES-CENTRO UNIV CESMAC
AL;2704302;MACEIO;40194;G11953;EE PROFA IRENE GARRIDO
AL;2704302;MACEIO;40195;G852;EE DRA EUNICE DE LEMOS CAMPOS
AL;2704302;MACEIO;40196;G11865;EE DOM OTAVIO BARBOSA AGUIAR
AL;2704302;MACEIO;40197;G49604;IFAL - CAMPUS BENEDITO BENTES
AL;2704302;MACEIO;40198;G29028;ETI MARCOS ANTONIO CAVALCANTI SILVA
AM;1302603;MANAUS;40199;G43044;INSTITUTO BENJAMIN CONSTANT - CETAM
AM;1302603;MANAUS;40200;G4209;UNINORTE - UNIDADE 6
AM;1302603;MANAUS;40201;G4550;UNINORTE - UNIDADE 1
AM;1302603;MANAUS;40202;G4180;UNINORTE - UNIDADE 3
AM;1302603;MANAUS;40203;G4376;IF DO AMAZONAS - CAMPUS MANAUS CENTRO
AM;1302603;MANAUS;40204;G14755;CEDUC SANTA TERESINHA - CEST
AM;1302603;MANAUS;40205;G31720;TERCEIRO COL MIL DA PM - PROF WALDOCKE F DE LYRA
AM;1302603;MANAUS;40206;G34705;COL NOSSA SENHORA AUXILIADORA
AM;1302603;MANAUS;40207;G43045;EETI IRMA ADONAI POLITI
AM;1302603;MANAUS;40208;G43048;EEP ESTELIO DALISON - CETAM
AM;1302603;MANAUS;40209;G5216;FAC LA SALLE
AM;1302603;MANAUS;40210;G5751;FAC METROPOLITANA DE MANAUS - FAMETRO 5
AM;1302603;MANAUS;40211;G10230;FAC METROPOLITANA DE MANAUS - FAMETRO - UNID 2
AM;1302603;MANAUS;40212;G3244;UNIP - CAMPUS MANAUS
AM;1302603;MANAUS;40213;G5400;FAC ESTACIO - UNID CONSTANTINO NERY
AM;1302603;MANAUS;40214;G43468;UNINORTE - UNIDADE 22
AM;1302603;MANAUS;40215;G5396;CENTRO LITERATUS - UNID PARA
AM;1302603;MANAUS;40216;G43033;FAC SANTA TERESA
AM;1302603;MANAUS;40217;G43041;CENTRO DE ENSINO TECNICO - CENTEC
