SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
SP;3527405;LUCELIA;60690;G49242;PPL - PENITENCIARIA DE LUCELIA ALA FE ESPACO IV - PREDIO: PRINCIPAL
SP;3557006;VOTORANTIM;60799;G39432;PPL - PENITENCIARIA FEMININA DE VOTORANTIM OSCAR GARCIA - PREDIO: PRINCIPAL
SP;3503208;ARARAQUARA;60804;G18455;PPL - CASA ARARAQUARA - CIP - PREDIO: PRINCIPAL
PA;1506203;SALINOPOLIS;10030;F00138;PPL - CENTRO DE RECUPERACAO REGIONAL DE SALINOPOLIS
PA;1506500;SANTA ISABEL DO PARA;10033;F01248;PPL - COLONIA PENAL AGRICOLA DE SANTA ISABEL  CPASI
PA;1506500;SANTA ISABEL DO PARA;10034;F01475;PPL - CENTRAL DE TRIAGEM METROPOLITANA III
SP;3548708;SAO BERNARDO DO CAMPO;60939;G49247;PPL - CDP DE SAO BERNARDO DO CAMPO ESPACO II - PREDIO: PRINCIPAL
SP;3531100;MONGAGUA;60941;G16078;PPL - CASA MONGAGUA CI - PREDIO: PRINCIPAL
RO;1100023;ARIQUEMES;60051;G45760;PPL - UNIDADES PRISIONAL SEMIABERTO E PRESIDIO FEMININO - PREDIO: PRINCIPAL
RO;1100189;PIMENTA BUENO;60056;G40015;PPL - CASA DE DETENCAO DE PIMENTA BUENO - PREDIO: PRINCIPAL
PE;2603702;CANHOTINHO;60168;G18412;PPL - CENTRO DE RESSOCIALIZACAO DO AGRESTE - PREDIO: PRINCIPAL
PB;2508307;LAGOA SECA;60298;G15981;PPL - LAR DO GAROTO PADRE OTAVIO SANTOS - PREDIO: PRINCIPAL
PB;2509701;MONTEIRO;60299;G40945;PPL - CADEIA PUBLICA DE MONTEIRO - PREDIO: PRINCIPAL
RS;4314902;PORTO ALEGRE;60434;G42966;PPL - APAC DE PORTO ALEGRE - PARTENON - PREDIO: PRINCIPAL
RJ;3302205;ITAPERUNA;60563;G13749;PPL - PRESIDIO DIOMEDES VINHOSA MUNIZ - PREDIO: PRINCIPAL
SP;3518503;GUAREI;60809;G13835;PPL - PENITENCIARIA II DE GUAREI - PREDIO: PRINCIPAL
PA;1506500;SANTA ISABEL DO PARA;10040;F03606;PPL - CENTRO DE RECUPERACAO PENITENCIARIO DO PARA IV
PA;1508001;TOME-ACU;10041;F01487;PPL - CENTRO DE RECUPERACAO REGIONAL DE TOMEACU
PA;1503606;ITAITUBA;10043;F00979;PPL - CENTRO DE RECUPERACAO REGIONAL DE ITAITUBA
PA;1506138;REDENCAO;10050;F00420;PPL - CENTRO DE RECUPERACAO REGIONAL DE REDENCAO
PE;2611606;RECIFE;60179;G39409;PPL - CASEM AREIAS - PREDIO: PRINCIPAL
SE;2800308;ARACAJU;60306;G39404;PPL - HOSPITAL DE CUSTODIA E TRATAMENTO PSIQ DE SERGIPE - PREDIO: PRINCIPAL
RS;4314100;PASSO FUNDO;60442;G42953;PPL - PRESIDIO REGIONAL DE PASSO FUNDO - PREDIO: PRINCIPAL
RJ;3304557;RIO DE JANEIRO;60577;G13758;PPL - PENIT MONIZ SODRE - PREDIO: PRINCIPAL
SP;3534906;PACAEMBU;60705;G13830;PPL - CPP DE PACAEMBU - PREDIO: PRINCIPAL
PA;1502202;CAPANEMA;10005;F00950;PPL - CENTRO DE RECUPERACAO REGIONAL DE CAPANEMA
PA;1502103;CAMETA;10004;F00418;PPL - CENTRO DE RECUPERACAO REGIONAL DE CAMETA
PA;1501402;BELEM;10015;F01712;PPL - ASSOCIACAO POLO PRODUTIVO DO PARA  FABRICA ESPERANCA
PA;1501402;BELEM;10016;F00427;PPL - CENTRAL DE RECAPTURA DE CONDENADOS
SP;3523107;ITAQUAQUECETUBA;60950;G13851;PPL - CASA ITAQUAQUECETUBA I - CI - PREDIO: PRINCIPAL
RO;1100205;PORTO VELHO;60069;G40244;PPL - UNIDADE SOCIOEDUCATIVA FEMININA - PREDIO: PRINCIPAL
RO;1100205;PORTO VELHO;60073;G40085;PPL - CENTRO DE RESSOCIALIZACAO VALE DO GUAPORE - PREDIO: PRINCIPAL
PE;2602902;CABO DE SANTO AGOSTINHO;60183;G13736;PPL - CASE CABO - PREDIO: PRINCIPAL
PE;2611606;RECIFE;60186;G45758;PPL - CASEM IPUTINGA ANTIGA CASEM OLINDA - PREDIO: PRINCIPAL
RJ;3304557;RIO DE JANEIRO;60581;G13762;PPL - PENIT VICENTE PIRAGIBE - PREDIO: PRINCIPAL
SP;3543402;RIBEIRAO PRETO;60821;G16093;PPL - CASA RIBEIRAO PRETO - CI - PREDIO: PRINCIPAL
SP;3551405;SERRA AZUL;60827;G13931;PPL - CDP DE SERRA AZUL - PREDIO: PRINCIPAL
SP;3518800;GUARULHOS;60963;G27560;PPL - CASA GUAY - PREDIO: PRINCIPAL
RO;1100205;PORTO VELHO;60077;G42947;PPL - PENITENCIARIA ESTADUAL JORGE THIAGO AGUIAR AFONSO - PREDIO: PRINCIPAL
RO;1100205;PORTO VELHO;60076;G40980;PPL - PENITENCIARIA ESTADUAL MILTON SOARES CARVALHO - PREDIO: PRINCIPAL
RO;1100205;PORTO VELHO;60080;G49258;PPL - UNIDADE MASCULINA SENTENCIADA II - PREDIO: PRINCIPAL0
RO;1100205;PORTO VELHO;60081;G40169;PPL - CENTRO DE RESSOCIALIZACAO SUELY MARIA MENDONCA - PREDIO: PRINCIPAL
MS;5002704;CAMPO GRANDE;60324;G40138;PPL - ESTABELECIMENTO PENAL FEMININO IRMA ZORZI - PREDIO: PRINCIPAL
RJ;3304557;RIO DE JANEIRO;60589;G13776;PPL - CADEIA PUBLICA PEDRO MELO DA SILVA - PREDIO: PRINCIPAL
SP;3541505;PRESIDENTE VENCESLAU;60720;G13889;PPL - PENIT DE PRESID VENCESLAU I ZWINGLIO FERREIRA - PREDIO: PRINCIPAL
SP;3553203;TAIUVA;60830;G16132;PPL - CDP DE TAIUVA - PREDIO: PRINCIPAL
SP;3551405;SERRA AZUL;60829;G13933;PPL - PENIT I DE SERRA AZUL - PREDIO: PRINCIPAL
SP;3510500;CARAGUATATUBA;60831;G13814;PPL - CDP DE CARAGUATATUBA DR JOSE EDUARDO M OLIVEIRA I - PREDIO: PRINCIPAL
SP;3550308;SAO PAULO;60972;G13907;PPL - CASA ITAQUERA - CI - PREDIO: PRINCIPAL
PE;2614709;TACAIMBO;60196;G42658;PPL - PENITENCIARIA DE TACAIMBO - PREDIO: PRINCIPAL
MS;5002704;CAMPO GRANDE;60327;G40140;PPL - ESTABELECIMENTO PENAL JAIR FERREIRA DE CARVALHO - PREDIO: PRINCIPAL
MS;5002704;CAMPO GRANDE;60330;G40170;PPL - PENITENCIARIA FEDERAL EM CAMPO GRANDE - MS - PREDIO: PRINCIPAL
RS;4304606;CANOAS;60466;G40995;PPL - PENITENCIARIA ESTADUAL DE CANOAS II - PECAN II - PREDIO: PRINCIPAL
RJ;3306305;VOLTA REDONDA;60599;G13787;PPL - CADEIA PUBLICA FRANZ DE CASTRO HOLZWARTH - PREDIO: PRINCIPAL
SP;3554805;TREMEMBE;60839;G13944;PPL - PENIT FEM II-A DE TREMEMBE - PREDIO: ESPACO I
SP;3554805;TREMEMBE;60843;G13946;PPL - PENIT II-A TREMEMBE DR JOSE AUGUSTO CESAR SALGADO - PREDIO: PRINCIPAL
TO;1721000;PALMAS;60984;G40020;PPL - CASA DE PRISAO PROVISORIA DE PALMAS - PREDIO: PRINCIPAL
RS;4313409;NOVO HAMBURGO;60470;G40146;PPL - INSTITUTO PENAL DE NOVO HAMBURGO - PREDIO: PRINCIPAL
RS;4319802;SAO VICENTE DO SUL;60477;G41002;PPL - PRESIDIO ESTADUAL DE SAO VICENTE DO SUL - PREDIO: PRINCIPAL
SP;3502101;ANDRADINA;60605;G18454;PPL - PENITENCIARIA DE ANDRADINA - PREDIO: PRINCIPAL
SP;3501400;ALVARO DE CARVALHO;60604;G49153;PPL - PENITENCIARIA DE ALVARO DE CARVALHO VALETIM ALVES - PREDIO: PRINCIPAL
SP;3502101;ANDRADINA;60607;G49115;PPL - PENITENCIARIA DE ANDRADINA FE ESPACO V - PREDIO: PRINCIPAL
