SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
MS;5008305;TRES LAGOAS;;P1;PPL - CENTRO PENAL INDUSTRIAL PARACELSO DE LIMA VIEIRA JESUS
RS;4314902;PORTO ALEGRE;;P10;PPL - CASE PADRE CACIQUE
TO;1709302;GUARAI;;P1000;PPL - UNIDADE PENAL DE GUARAI
GO;5210406;ITABERAI;;P10026;PPL - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO DE ITABERAI
RN;2408201;NISIA FLORESTA;;P1003;PPL - COMPLEXO PENAL JOAO CHAVES  MASCULINO
SE;2800308;ARACAJU;;P1006;PPL - PRESIDIO FEMININO DE ARACAJU
SE;2804805;NOSSA SENHORA DO SOCORRO;;P1007;PPL - CADEIA TERRITORIAL DE NOSSA SENHORA DO SOCORRO
DF;5300108;BRASILIA;;P10074;PPL - NUCLEO DE CUSTODIA DA POLICIA MILITAR DO DISTRITO FEDERAL
PR;4117602;PALMAS;;P10076;PPL - CADEIA P PALMAS
PR;4124400;SANTO ANTONIO DO SUDOESTE;;P10087;PPL - CADEIA P DE SANTO ANTONIO DO SUDOESTE
BA;2919207;LAURO DE FREITAS;;P10089;PPL - COORDENACAO DE CUSTODIA PROVISORIA DA CORREGEDORIA DA POLICIA MILITAR
BA;2927408;SALVADOR;;P101;PPL - CASE FEMININA  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
ES;3205200;VILA VELHA;;P1010;PPL - PENITENCIARIA ESTADUAL DE VILA VELHA I PEVV I
RN;2407203;MACAU;;P10105;PPL - APACMACAU ASSOCIACAO DE PROTECAO E ASSISTENCIA AOS CONDENADOS
MG;3111606;CAMPOS GERAIS;;P1012;PPL - PRESIDIO DE CAMPOS GERAIS
MS;5002704;CAMPO GRANDE;;P10127;PPL - PRESIDIO MILITAR ESTADUAL FIDELCINO RODRIGUES
MG;3167202;SETE LAGOAS;;P1013;PPL - PRESIDIO PROMOTOR JOSE COSTA
MG;3106200;BELO HORIZONTE;;P10136;PPL - UNIDADE MILITAR PRISIONAL 1O BPM
SP;3526506;LAVINIA;;P1014;PPL - PENITENCIARIA III DE LAVINIA
SP;3540754;POTIM;;P1015;PPL - PENITENCIARIA II DE POTIM
SP;3516408;FRANCO DA ROCHA;;P1016;PPL - CENTRO DE DETENCAO PROVISORIA FEMININO DE FRANCO DA ROCHA
SP;3555109;TUPI PAULISTA;;P1018;PPL - PENITENCIARIA FEMININA DE TUPI PAULISTA  FE  ESPACO I
CE;2304400;FORTALEZA;;P102;PPL - CENTRO EDUCACIONAL PATATIVA DO ASSARE
PA;1508100;TUCURUI;;P10223;PPL - UNIDADE DE REINSERCAO DE REGIME SEMIABERTO DE TUCURUI
PR;4114104;MANDAGUACU;;P10226;PPL - CADEIA P MANDAGUACU
MG;3154606;RIBEIRAO DAS NEVES;;P1023;PPL - PRESIDIO ANTONIO DUTRA LADEIRA
MG;3127701;GOVERNADOR VALADARES;;P1024;PPL - PENITENCIARIA FRANCISCO FLORIANO DE PAULA
PA;1506500;SANTA IZABEL DO PARA;;P10243;PPL - UNIDADE DE CUSTODIA E REINSERCAO DE SANTA IZABEL VI
PA;1506807;SANTAREM;;P10244;PPL - UNIDADE DE CUSTODIA E REINSERCAO DE SANTAREM
MG;3101706;ALMENARA;;P1025;PPL - PRESIDIO DE ALMENARA
PR;4128104;UMUARAMA;;P10263;PPL - COMPLEXO SOCIAL DE UMUARAMA
PR;4106308;CORBELIA;;P10264;PPL - CADEIA P DE CORBELIA
MS;5008305;TRES LAGOAS;;P10266;PPL - PATRONATO PENITENCIARIO DE TRES LAGOAS
MG;3157203;SANTA BARBARA;;P1027;PPL - APAC SANTA BARBARA
MG;3107109;BOA ESPERANCA;;P1028;PPL - PRESIDIO DE BOA ESPERANCA
MG;3128006;GUANHAES;;P10284;PPL - APAC GUANHAES
SP;3550308;SAO PAULO;;P10289;PPL - PENITENCIARIA DE PARELHEIROS  ASP JOAQUIM FONSECA LOPES   ESPACO III
RS;4305355;CHARQUEADAS;;P10292;PPL - PENITENCIARIA ESTADUAL DE CHARQUEADAS II
