SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200013;ACRELANDIA;1;P5089;ESCOLA PÚBLICA ESTADUAL DE ENSINO MÉDIO PROFESSOR  MARCÍLIO PONTES DOS SANTOS
AC;1200013;ACRELANDIA;2;P7546;ESCOLA PÚBLICA ESTADUAL DE ENSINO FUNDAMENTAL PROFESSOR PEDRO DE CASTRO MEIRELES
AC;1200104;BRASILEIA;3;P52400;ESCOLA ESTADUAL DE ENSINO JOVEM KAIRALA JOSÉ KAIRALA
AC;1200104;BRASILEIA;4;P3115;EEEF CORONEL MANOEL FONTENELE DE CASTRO
AC;1200104;BRASILEIA;5;P52809;INSTITUTO ODILON PRATAGI
AC;1200807;PORTO ACRE;6;P42495;ESCOLA ESTADUAL EDMUNDO PINTO DE ALMEIDA NETO
AC;1200401;RIO BRANCO;7;P49559;ESTÁCIO UNIMETA
AC;1200401;RIO BRANCO;8;P49559;ESTÁCIO UNIMETA
AC;1200401;RIO BRANCO;9;P17842;ESCOLA ESTADUAL  JOSÉ RODRIGUES LEITE
AC;1200401;RIO BRANCO;10;P3632;COLÉGIO ESTADUAL BARÃO DO RIO BRANCO
AC;1200401;RIO BRANCO;11;P3480;SOCIEDADE EDUCACIONAL E CULTURAL META
AC;1200401;RIO BRANCO;12;P3;INSTITUTO DE EDUCAÇÃO LOURENÇO FILHO
AC;1200401;RIO BRANCO;13;P43387;ESCOLA ESTADUAL DE ENSINO MÉDIO DR. JOÃO BATISTA AGUIAR
AC;1200401;RIO BRANCO;14;P15270;EEEF PADRE CARLOS CASAVECCHIA
AC;1200401;RIO BRANCO;15;P18357;ESCOLA ESTADUAL DE ENSINO MÉDIO JOSÉ RIBAMAR BATISTA
AC;1200401;RIO BRANCO;16;P3633;ESCOLA ESTADUAL DE ENSINO MÉDIO (EDUCAÇÃO INTEGRAL) GLÓRIA PEREZ
AC;1200401;RIO BRANCO;17;P43236;COLÉGIO ACREANO
AC;1200401;RIO BRANCO;18;P12553;EEEF DOUTOR PIMENTEL GOMES
AC;1200401;RIO BRANCO;19;P240;EEFM LOURIVAL SOMBRA PEREIRA LIMA
AC;1200401;RIO BRANCO;20;P3689;EEEFM MARILDA GOUVEIA VIANA
AC;1200401;RIO BRANCO;21;P3679;EEEFM PROFESSORA BERTA VIEIRA DE ANDRADE
AC;1200401;RIO BRANCO;22;P238;ESCOLA DE ENSINO FUNDAMENTAL 1 FRANCISCO SALGADO FILHO
AC;1200401;RIO BRANCO;23;P246;EEFM PROFESSOR HUMBERTO SOARES DA COSTA
AC;1200401;RIO BRANCO;24;P6;EEEF DR. MÁRIO DE OLIVEIRA
AC;1200401;RIO BRANCO;25;P45096;EEEF JOÃO PAULO II
AC;1200401;RIO BRANCO;26;P3685;EEFE THEODOLINA FALCÃO MACEDO
AC;1200401;RIO BRANCO;27;P18626;ESCOLA ESTADUAL GEORGETE ELUAN KALUME
AC;1200401;RIO BRANCO;28;P17645;ESCOLA SESI
AC;1200401;RIO BRANCO;29;P43298;EEEFM PADRE ANTÔNIO DIOGO FEIJÓ
AC;1200401;RIO BRANCO;30;P15455;EEEF RAIMUNDO HERMÍNIO DE MELO
AC;1200401;RIO BRANCO;31;P18976;EEE ROBERTO SANCHES MUBÁRAC
AC;1200401;RIO BRANCO;32;P239;EEEF NATALINO DA SILVEIRA BRITO
AC;1200401;RIO BRANCO;33;P18903;ESCOLA MUNICIPAL ANICE DIB JATENE
AC;1200401;RIO BRANCO;34;P19835;INSTITUTO FEDERAL ACRE (IFAC) - CAMPUS RIO BRANCO
AC;1200401;RIO BRANCO;35;P249;INSTITUTO SÃO JOSÉ
AC;1200401;RIO BRANCO;36;P3684;EEEM LOURIVAL PINHO
AC;1200401;RIO BRANCO;37;P2796;EEEM PROFESSORA HELOÍSA MOURÃO MARQUES
AC;1200401;RIO BRANCO;38;P23268;EEEF PROFESSORA MARINA VICENTE GOMES
AC;1200401;RIO BRANCO;39;P17615;ESCOLA ESTADUAL DE ENSINO JOVEM BOA UNIÃO
AC;1200401;RIO BRANCO;40;P3680;EEF DOUTOR CARLOS VASCONCELOS
AC;1200401;RIO BRANCO;41;P18924;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL SERAFIM DA SILVA SALGADO
AC;1200401;RIO BRANCO;42;P17388;EEF MADRE HILDEBRANDA DA PRÁ
AC;1200401;RIO BRANCO;43;P55091;CENTRO DE EDUCAÇÃO DE JOVENS E ADULTO-CEDUC
AC;1200401;RIO BRANCO;44;P15276;EEEM PROFª. CLÍCIA GADELHA
AC;1200401;RIO BRANCO;45;P41150;COLÉGIO MILITAR DOM PEDRO II
AC;1200401;RIO BRANCO;46;P17384;ESCOLA ESTADUAL PAULO FREIRE
AC;1200401;RIO BRANCO;47;P3634;INSTITUTO IMACULADA CONCEIÇÃO
AC;1200401;RIO BRANCO;48;P3461;CENTRO UNIVERSITÁRIO UNINORTE
AC;1200401;RIO BRANCO;49;P3461;CENTRO UNIVERSITÁRIO UNINORTE
AC;1200401;RIO BRANCO;50;P43569;COLÉGIO MILITAR ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO TIRADENTES
AC;1200401;RIO BRANCO;51;P52526;ESCOLA ESTADUAL SENADOR ADALBERTO SENA
AC;1200401;RIO BRANCO;52;P12550;EEEFM HENRIQUE LIMA
AC;1200401;RIO BRANCO;53;P245;EEFM ALCIMAR NUNES LEITÃO
AC;1200401;RIO BRANCO;54;P46945;EMEF JUVENAL ANTUNES
AC;1200401;RIO BRANCO;55;P18706;EEEF PROF. ILKA MARIA DE LIMA
AC;1200450;SENADOR GUIOMARD;56;P14917;ESCOLA CÍVICO MILITAR 15 DE JUNHO
AC;1200450;SENADOR GUIOMARD;57;P33430;ESCOLA CÍVICO MILITAR ALDACI SIMÕES DA COSTA
AC;1200203;CRUZEIRO DO SUL;58;P47048;COLÉGIO MILITAR ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO DOM PEDRO II - CZS
AC;1200203;CRUZEIRO DO SUL;59;P18955;INSTITUTO FEDERAL DO ACRE (IFAC)
AC;1200203;CRUZEIRO DO SUL;60;P1370;UNIVERSIDADE FEDERAL DO ACRE - CAMPUS FLORESTA
AC;1200203;CRUZEIRO DO SUL;61;P3467;EEM PROFESSOR FLODOARDO CABRAL
AC;1200203;CRUZEIRO DO SUL;62;P18688;ESCOLA CÍVICO-MILITAR MADRE ADELGUNDES BECKER - CZS
AC;1200203;CRUZEIRO DO SUL;63;P2687;EEEF JOÃO KUBITSCHEK
AC;1200203;CRUZEIRO DO SUL;64;P14164;ESCOLA ESTADUAL MARIA LIMA DE SOUZA
AC;1200203;CRUZEIRO DO SUL;65;P2218;ESCOLA ESTADUAL DA EDUCAÇÃO DE JOVENS E ADULTOS DR. VALÉRIO CALDAS DE MAGALHÃES
AC;1200203;CRUZEIRO DO SUL;66;P9358;EEF PRESIDENTE TANCREDO DE ALMEIDA NEVES
AC;1200203;CRUZEIRO DO SUL;67;P57081;ITPAC - CRUZEIRO DO SUL
AC;1200203;CRUZEIRO DO SUL;68;P17092;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL THAUMATURGO DE AZEVEDO
AC;1200203;CRUZEIRO DO SUL;69;P1373;EEM DOM HENRIQUE RUTH
AC;1200203;CRUZEIRO DO SUL;70;P3677;EEEF PROFESSOR ANTÔNIO DE BARROS FREIRE
AC;1200203;CRUZEIRO DO SUL;71;P1372;ESCOLA ESTADUAL DE ENSINO MÉDIO INTEGRAL CRAVEIRO COSTA
AC;1200203;CRUZEIRO DO SUL;72;P18748;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL HUGO CARNEIRO
AC;1200203;CRUZEIRO DO SUL;73;P20231;EMEF CORAZITA NEGREIROS
AC;1200336;MANCIO LIMA;74;P55248;COLÉGIO MUNICIPAL PADRE EDSON DE OLIVEIRA DANTAS
AC;1200336;MANCIO LIMA;75;P22053;ESCOLA ESTADUAL FRANCISCO FREIRE DE CARVALHO
AC;1200336;MANCIO LIMA;76;P42214;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO BELARMINO DE MENDONÇA
AC;1200252;EPITACIOLANDIA;77;P52762;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO JOANA RIBEIRO AMED
