SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200401;Rio Branco;;G33967;COL META
AL;2700300;Arapiraca;;G12127;UFAL - UNIV FEDERAL DE ALAGOAS - CAMPUS ARAPIRACA
AL;2704302;Maceió;;G211;CESMAC - ED ALBERTO ANTUNES - CAMPUS II
AM;1302603;Manaus;;G5751;FAC METROPOLITANA DE MANAUS - FAMETRO - UNID 3
AP;1600303;Macapá;;G16421;UNIV DO ESTADO DO AMAPA - UE/AP
BA;2903201;Barreiras;;G8954;COL DEMOCRATICO ESTADUAL MARCOS FREIRE
BA;2909802;Cruz das Almas;;G17901;CETEP RECONCAVO II ALBERTO TORRES - CEAT
BA;2927408;Salvador;;G669;UCSAL UNIV CATOLICA DO SALVADOR - CAMPUS FEDERACAO
CE;2304400;Fortaleza;;G29066;FAMETRO UNID IV - CAMPUS CARNEIRO DA CUNHA
CE;2307304;Juazeiro do Norte;;G12232;FAC DE JUAZEIRO DO NORTE - PREDIO PRINCIPAL
DF;5300108;Brasília;;G14314;CENTRO UNIVERSITARIO UNIEURO - ASA NORTE
ES;3204906;São Mateus;;G14599;MULTIVIX
ES;3205309;Vitória;;G264;CET - FAESA
GO;5205109;Catalão;;G18179;CENTRO DE ENSINO SUPERIOR DE CATALAO - CESUC
GO;5208707;Goiânia;;G9592;FASAM UNIAO SUL - AMERICANA DE EDUCACAO
GO;5211909;Jataí;;G9630;UFG - UNIVERSIDADE FEDERAL DE GO - CAMPUS JATAI
MA;2111300;São Luís;;G14390;SISTEMA EDUCACIONAL MASTER
MG;3106200;Belo Horizonte;;G6873;UNIVERSO - CAMPUS BELO HORIZONTE
MG;3132404;Itajubá;;G39123;COL SUCESSO
MG;3136702;Juiz de Fora;;G9625;UNIPAC - UNIV PRES ANTONIO CARLOS- ALTO DOS PASSOS
MG;3138203;Lavras;;G33152;INSTITUTO PRESBITERIANO GAMMON
MG;3143302;Montes Claros;;G40777;FAC DE CIENCIA E TECNOLOGIA - FACIT
MG;3146107;Ouro Preto;;G7995;IFMG - CAMPUS OURO PRETO
MG;3170107;Uberaba;;G18064;FACTHUS - FACULDADE DE TALENTOS HUMANOS
MG;3170206;Uberlândia;;G40776;UNIPAC
MG;3171303;Viçosa;;G40783;COL EQUIPE
MS;5002704;Campo Grande;;G39248;FAC ESTACIO - UNIDADE CENTRO
MS;5003702;Dourados;;G2629;UNIGRAN - CENTRO UNIVERSITARIO DA GRANDE DOURADOS
MT;5103403;Cuiabá;;G12270;ICEC - INST CUIABA DE ENSINO E CULTURA
MT;5107602;Rondonópolis;;G9175;UNIC FLORIANO PEIXOTO
PA;1501402;Belém;;G10358;ESTACIO - IESAM
PA;1504208;Marabá;;G40781;EMEF DR FRANCISCO DE SOUZA RAMOS
PB;2504009;Campina Grande;;G14901;FAC CESREI
PB;2507507;João Pessoa;;G10255;FAC INTERNACIONAL DA PARAIBA - FPB
PE;2611101;Petrolina;;G1659;FACAPE - FAC DE CIENCIAS APLICADAS E SOCIAIS
PE;2611606;Recife;;G824;UNICAP - UNIV CATOLICA DE PERNAMBUCO - BL G
PI;2211001;Teresina;;G34964;FAC DE TECNOLOGIA DO PIAUI - FATEPI- FAESPI
PR;4106902;Curitiba;;G410;FAC SANTA CRUZ
PR;4113700;Londrina;;G9992;UNIFIL - CAMPUS CANADA
RJ;3303302;Niterói;;G5491;UNIV ESTACIO DE SA - CAMPUS NITEROI I
RJ;3304557;Rio de Janeiro;;G285;UNIV VEIGA DE ALMEIDA - CAMPUS MARACANA
RJ;3305554;Seropédica;;G5401;CIEP BRIZOLAO 156 - DR ALBERT SABIN
RN;2408003;Mossoró;;G31473;FACENE
RN;2408102;Natal;;G417;FACEX II
RO;1100205;Porto Velho;;G17895;FAC SAO LUCAS
RR;1400100;Boa Vista;;G34991;SOCIEDADE EDUCACIONAL SION
RS;4314407;Pelotas;;G18149;IFSUL CAMPUS PELOTAS
RS;4314902;Porto Alegre;;G37087;FAC ANHANGUERA DE PORTO ALEGRE
RS;4315602;Rio Grande;;G3554;FURG - UNIV FEDERAL DO RIO GRANDE
RS;4316907;Santa Maria;;G35118;ULBRA SANTA MARIA
SC;4204202;Chapecó;;G34213;UNOPAR - POLO CHAPECO
SC;4205407;Florianópolis;;G40723;FAC DE FLORIANOPOLIS - UNIESP
SE;2800308;Aracaju;;G4072;FAC PIO DECIMO - CAMPUS III
SE;2806701;São Cristóvão;;G11119;CE ARMINDO GUARANA
SP;3518800;Guarulhos;;G3076;FAC TORRICELLI
SP;3547809;Santo André;;G4197;ANHANGUERA EDUC - CAMPUS 1 A
SP;3548906;São Carlos;;G3831;COL OBJETIVO - JESUINO ARRUDA
SP;3550308;São Paulo;;G293;UNINOVE - VERGUEIRO
TO;1702109;Araguaína;;G33243;FAC CATOLICA DOM ORIONE
TO;1721000;Palmas;;G289;FAC OBJETIVO
