Titulo;Ano;Avaliação Pedagógica;Caminho crítico;Categoria;UF;Municipio;Origem;Tipos ocorrências
Atualização no Portal Inep - Enem;2017;Enem;;;;;;
N98 - Estrutura das Imagens Digitalizadas;2016;Enem;5. Divulgação - Vista de provas;;;;;
Disponibilização das imagens para análise de risco (Sistemas);2016;Enem;5. Divulgação - Vista de provas;;;;;
ddddddddd;2016;Enem;0. Planejamento;;;;;
Erro na informação postada no Facebook do INEP;2017;Enem;0. Planejamento;;;;;
Diferenças identificadas (N90 e N02) e ( N58 e N02) ;2016;Enem;5. Divulgação - Divulgação de resultados;;;;;
Falta de teste no sistema de divulgação de notas;2016;Enem;5. Divulgação - Divulgação de resultados;;;;;
N59 (Notas das Redações) - UF's (AM, AP, RR, MT, SP, PR, SC, CE, RN, PB, PE, AL, SE, RJ);2016;Enem;4. Correção - Correção das provas discursivas;;;;;
Correção de Provas Discursivas;2016;Enem;4. Correção - Correção das provas discursivas;;;;;
ARQUIVO - N59 (Notas das redações) - SITUAÇÃO (PENDENTE OU ERRO VALIDAÇÃO);2016;Enem;5. Divulgação - Divulgação de resultados;;;;;
MG - BELO HORIZONTE - 4657 Escola Estadual Augusto de Lima - Aplicação;2016;Enem;;;;;;
PB - PATOS - 51308 COL CRISTO REI - Aplicação;2016;Enem;;;;;;
RS - ESTÂNCIA VELHA - 8772 ESCOLA TECNICA CENECISTA ESTANCIA VELHA - Aplicação;2016;Enem;;;;;;
PA - BELÉM - 7983 EEEFM Augusto Montenegro - Aplicação;2016;Enem;;;;;;
RJ - SÃO GONÇALO - 58033 UNIV ESTACIO DE SA - CAMPUS SAO GONÇALO - Aplicação;2016;Enem;;;;;;
CE - FORTALEZA - Aplicação - Atendimento específico;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Atendimento específico;CE;CE - FORTALEZA;RM;
PB - CAMPINA GRANDE - 51258 EEEF SENADOR HUMBERTO LUCENA - Aplicação;2016;Enem;;;;;;
GO - GOIATUBA - 4599 FUNDAÇÃO DE ENSINO SUPERIOR DE GOIATUBA - FESG/FAFICH - Aplicação;2016;Enem;;;;;;
MG - BELO HORIZONTE - 4682 Centro Universitário Newton Paiva - Campus Buritis - Aplicação;2016;Enem;;;;;;
SP - GUARULHOS - 53979 UNIV GUARULHOS - CAMPUS CENTRO - Aplicação;2016;Enem;;;;;;
BA - FEIRA DE SANTANA - 5667 COLÉGIO ESTADUAL CARMEM ANDRADE LIMA - Aplicação;2016;Enem;;;;;;
AP - MACAPÁ - 50900 EE PROF ANTONIO MESSIAS G DA SILVA - Aplicação;2016;Enem;;;;;;
MG - PONTE NOVA - 6420 Escola Estadual Carlos Trivellato - Aplicação;2016;Enem;;;;;;
MG - BELO HORIZONTE - 4646 UNA - CAMPUS GUAJAJARAS - Aplicação;2016;Enem;;;;;;
BA - SALVADOR - 5964 COLÉGIO MODELO LUÍS EDUARDO MAGALHÃES - Aplicação;2016;Enem;;;;;;
MG - CAXAMBU - 7148 Escola Municipal Padre Correia de Almeida - Aplicação;2016;Enem;;;;;;
SP - SÃO PAULO - 58339 FIAM-FAAM - 2009 - Aplicação;2016;Enem;;;;;;
BA - JACOBINA - 2184 Colégio Yolanda Dias Rocha - Aplicação;2016;Enem;;;;;;
CE - FORTALEZA - 56078 COL PAIVA ANDRADE - Aplicação;2016;Enem;;;;;;
BA - SALVADOR - 5881 COLÉGIO ESTADUAL ABÍLIO CÉSAR BORGES - Aplicação;2016;Enem;;;;;;
MA - SÃO LUÍS - 8050 UEB Senador Miguel Lins - Aplicação;2016;Enem;;;;;;
SC - FLORIANOPOLIS - Energia Elétrica;2016;Revalida;2. Implementação - Aplicação do exame;Energia Elétrica;SC;SC - FLORIANOPOLIS;RM;
MG - CONSELHEIRO LAFAIETE - 7342 Escola Municipal Professor Doriol Beato - Aplicação;2016;Enem;;;;;;
MA - SAO LUIS - Aplicação - Sabatista;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Sabatista;MA;MA - SAO LUIS;RM;
MG - RIBEIRAO DAS NEVES - Segurança Pública - Estabelecimento prisional (fuga / rebelião / salve);2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Estabelecimento prisional (fuga / rebelião / salve);MG;MG - RIBEIRAO DAS NEVES;RM;
BA - SALVADOR - 5816 COLÉGIO ESTADUAL LUIZ FERNANDO MACEDO COSTA - Aplicação;2016;Enem;;;;;;
CE - FORTALEZA - 55870 INSTITUTO CEARENSE DE EDUCACAO DE SURDOS - Aplicação;2016;Enem;;;;;;
MG - BELO HORIZONTE - 4679 CENTRO UNIVERSITÁRIO DE BELO HORIZONTE UNIBH CAMPUS ESTORIL BLOCOS B5 B6 B7 E B8 - Aplicação;2016;Enem;;;;;;
GO - POSSE - 4154 Colégio Estadual Dom Prudêncio - Aplicação;2016;Enem;;;;;;
SC - FLORIANOPOLIS - Eliminação de Participantes - Documentação indevida;2016;Revalida;2. Implementação - Aplicação do exame;Eliminação de Participantes - Documentação indevida;SC;SC - FLORIANOPOLIS;RM;
MG - MATOZINHOS - 6635 ESCOLA ESTADUAL WALDEMAR PEZZINI - Aplicação;2016;Enem;;;;;;
SP - BRAGANÇA PAULISTA - 52337 USF - UNIV SAO FRANCISCO - Aplicação;2016;Enem;;;;;;
MG - GOVERNADOR VALADARES - 6560 Universidade Vale do Rio Doce UNIVALE Campus II - Aplicação;2016;Enem;;;;;;
CE - FORTALEZA - Aplicação - Infraestrutura;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;CE;CE - FORTALEZA;RM;
DF - BRASILIA - Aplicação - Infraestrutura;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;DF;DF - BRASILIA;RM;
DF - BRASILIA - Aplicação - Infraestrutura;2016;Revalida;2. Implementação - Aplicação do exame;Aplicação - Infraestrutura;DF;DF - BRASILIA;RM;
Ocupação de Escolas;2016;Enem;2. Implementação - Ensalamento;;;;;
ES - VITORIA - Aplicação - Atendimento específico;2016;Enem;2. Implementação - Aplicação do exame;Aplicação - Atendimento específico;ES;ES - VITORIA;RM;
AM - MANAUS - Aplicação - Tumulto em local de prova;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Tumulto em local de prova;AM;AM - MANAUS;RM;
SP - SAO PAULO - Malote - Danificado;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Danificado;SP;SP - SAO PAULO;RM;
RN - PARNAMIRIM - Malote - Operação reversa;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Operação reversa;RN;RN - PARNAMIRIM;RM;
MG - RIBEIRAO DAS NEVES - Malote - Operação reversa;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Operação reversa;MG;MG - RIBEIRAO DAS NEVES;RM;
MG - BELO HORIZONTE - Segurança Pública - Interdição via (Rodovia federal / Estadual);2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Interdição via (Rodovia federal / Estadual);MG;MG - BELO HORIZONTE;RM;
Inconsistência de endereço para recebimento de malotes de provas;2016;Enem PPL;2. Implementação - Distribuição das provas;;;;;
TO - PARAISO DO TOCANTINS - Segurança Pública - Outras ocorrências relevantes;2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Outras ocorrências relevantes;TO;TO - PARAISO DO TOCANTINS;RM;
DF - BRASILIA - Aplicação - Tumulto em local de prova;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Tumulto em local de prova;DF;DF - BRASILIA;RM;
DF - BRASILIA - Aplicação - Tumulto em local de prova;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Tumulto em local de prova;DF;DF - BRASILIA;RM;
MS - CAMPO GRANDE - Malote - Vunerabilidade;2016;Enem PPL;2. Implementação - Aplicação do exame;Malote - Vunerabilidade;MS;MS - CAMPO GRANDE;RM;
PI - TERESINA - Aplicação - Quantidade de provas;2016;Enem PPL;2. Implementação - Aplicação do exame;Aplicação - Quantidade de provas;PI;PI - TERESINA;RM;
TO - SANTA FE DO ARAGUAIA - Segurança Pública - Outras ocorrências relevantes;2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Outras ocorrências relevantes;TO;TO - SANTA FE DO ARAGUAIA;RM;
SE - NOSSA SENHORA DO SOCORRO - Segurança Pública - Estabelecimento prisional (fuga / rebelião / salve);2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Estabelecimento prisional (fuga / rebelião / salve);SE;SE - NOSSA SENHORA DO SOCORRO;RM;
TO - GURUPI - Segurança Pública - Outras ocorrências relevantes;2016;Enem PPL;2. Implementação - Aplicação do exame;Segurança Pública - Outras ocorrências relevantes;TO;TO - GURUPI;RM;
