SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200203;Cruzeiro do Sul;1;P000020228;Centro de Formação e Tecnologia da Floresta - CEFLORA
AC;1200203;Cruzeiro do Sul;2;P000019984;Colégio Cristão Cruzeiro
AC;1200203;Cruzeiro do Sul;3;P000009357;EEEF Comandante Braz de Aguiar
AC;1200203;Cruzeiro do Sul;4;P000018748;EEEF Governador Hugo Carneiro
AC;1200203;Cruzeiro do Sul;5;P000002687;EEEF João Kubitschek
AC;1200203;Cruzeiro do Sul;6;P000014164;EEEF Maria Lima de Souza
AC;1200203;Cruzeiro do Sul;7;P000003677;EEEF Professor Antônio de Barros Freire
AC;1200203;Cruzeiro do Sul;8;P000018692;EEEFM Anselmo Maia de Carvalho
AC;1200203;Cruzeiro do Sul;9;P000018688;EEEFM Madre Adelgundes Becker
AC;1200203;Cruzeiro do Sul;10;P000001150;EEF Absolom Moreira
AC;1200203;Cruzeiro do Sul;11;P000017096;EEF Barão do Rio Branco
AC;1200203;Cruzeiro do Sul;12;P000019986;EEF Padre Damião
AC;1200203;Cruzeiro do Sul;13;P000009358;EEF Presidente Tancredo de Almeida Neves
AC;1200203;Cruzeiro do Sul;14;P000001371;EEF São José
AC;1200203;Cruzeiro do Sul;15;P000001372;EEM Craveiro Costa
AC;1200203;Cruzeiro do Sul;16;P000001373;EEM Dom Henrique Ruth
AC;1200203;Cruzeiro do Sul;17;P000003467;EEM Professor Flodoardo Cabral
AC;1200203;Cruzeiro do Sul;18;P000002218;Escola Doutor Valério Caldas de Magalhães
AC;1200203;Cruzeiro do Sul;19;P000017094;Escola Municipal de Ensino Fundamental Padre Marcelino Champagnat
AC;1200203;Cruzeiro do Sul;20;P000018955;Instituto Federal do Acre (IFAC)
AC;1200203;Cruzeiro do Sul;21;P000025861;UCRESA - União Cruzeirense de Ensino Acriana
AC;1200203;Cruzeiro do Sul;22;P000025861;UCRESA - União Cruzeirense de Ensino Acriana
AC;1200203;Cruzeiro do Sul;23;P000001370;Universidade Federal do Acre - Campus Floresta
AC;1200336;Mâncio Lima;24;P000022046;Escola Estadual Antônio de Oliveira Dantas
AC;1200336;Mâncio Lima;25;P000022053;Escola Estadual Francisco Freire de Carvalho
AC;1200336;Mâncio Lima;26;P000022047;Escola Estadual Primeiro de Maio
AC;1200336;Mâncio Lima;27;P000008122;Escola Municipal Padre Edson de Oliveira Dantas
AC;1200401;Rio Branco;28;P000003480;Centro Educacional e Cultural Meta
AC;1200401;Rio Branco;29;P000003480;Centro Educacional e Cultural Meta
AC;1200401;Rio Branco;30;P000017645;Centro Educacional Marília Santana - Escola SESI
AC;1200401;Rio Branco;31;P000000017;Colégio Acreano
AC;1200401;Rio Branco;32;P000003632;Colégio Estadual Barão do Rio Branco
AC;1200401;Rio Branco;33;P000019971;EE Professor João Mariano da Silva
AC;1200401;Rio Branco;34;P000003685;EE Theodolina Falcão Macedo
AC;1200401;Rio Branco;35;P000018976;EEE Roberto Sanches Mubárac
AC;1200401;Rio Branco;36;P000020073;EEEF Djalma Teles Galdino
AC;1200401;Rio Branco;37;P000000006;EEEF Doutor Mário de Oliveira
AC;1200401;Rio Branco;38;P000012553;EEEF Doutor Pimentel Gomes
AC;1200401;Rio Branco;39;P000024397;EEEF DUQUE DE CAXIAS
AC;1200401;Rio Branco;40;P000018941;EEEF Governador José Augusto
AC;1200401;Rio Branco;41;P000018948;EEEF João Paulo I
AC;1200401;Rio Branco;42;P000020363;EEEF Joelma Oliveira de Lima
AC;1200401;Rio Branco;43;P000017143;EEEF Lindaura Martins Leitão
AC;1200401;Rio Branco;44;P000015445;EEEF Maria Chalub Leite
AC;1200401;Rio Branco;45;P000000239;EEEF Natalino da Silveira Brito
AC;1200401;Rio Branco;46;P000015270;EEEF Padre Carlos Casavecchia
AC;1200401;Rio Branco;47;P000012554;EEEF Professor Almada Brito
AC;1200401;Rio Branco;48;P000012555;EEEF Professora Terezinha Miguéis
AC;1200401;Rio Branco;49;P000017613;EEEF Tancredo de Almeida Neves
AC;1200401;Rio Branco;50;P000021718;EEEF Zuleide Pereira de Souza
AC;1200401;Rio Branco;51;P000012552;EEEFM LUIZA BATISTA DE SOUZA
AC;1200401;Rio Branco;52;P000003689;EEEFM Marilda Gouveia Viana
AC;1200401;Rio Branco;53;P000003679;EEEFM Professora Berta Vieira de Andrade
AC;1200401;Rio Branco;54;P000003633;EEEM Glória Perez
AC;1200401;Rio Branco;55;P000003684;EEEM Lourival Pinho
AC;1200401;Rio Branco;56;P000015276;EEEM Professora Clícia Gadelha
AC;1200401;Rio Branco;57;P000003688;EEF Clínio Brandão
AC;1200401;Rio Branco;58;P000003680;EEF Doutor Carlos Vasconcelos
AC;1200401;Rio Branco;59;P000000238;EEF Francisco Salgado Filho
AC;1200401;Rio Branco;60;P000008240;EEF Iza Mello
AC;1200401;Rio Branco;61;P000017388;EEF Madre Hildebranda da Prá
AC;1200401;Rio Branco;62;P000000005;EEF Neutel Maia
AC;1200401;Rio Branco;63;P000003691;EEF Samuel Barreira
AC;1200401;Rio Branco;64;P000000265;EEF Senador Adalberto Sena
AC;1200401;Rio Branco;65;P000009214;EEFM Antônia Fernandes de Freitas
AC;1200401;Rio Branco;66;P000003683;EEFM Leôncio de Carvalho
AC;1200401;Rio Branco;67;P000000002;EEFM Padre Antônio Diogo Feijó
AC;1200401;Rio Branco;68;P000000246;EEFM Professor Humberto Soares da Costa
AC;1200401;Rio Branco;69;P000000243;EEFM Raimundo Gomes de Oliveira
AC;1200401;Rio Branco;70;P000018929;EMEF Ismael Gomes de Carvalho
AC;1200401;Rio Branco;71;P000017615;Escola Estadual Boa União - Ensino Jovem
AC;1200401;Rio Branco;72;P000003678;Escola Estadual Clarisse Fecury
AC;1200401;Rio Branco;73;P000018626;Escola Estadual Georgete Eluan Kalume
AC;1200401;Rio Branco;74;P000017384;Escola Estadual Paulo Freire
AC;1200401;Rio Branco;75;P000017842;Escola Estadual Professor José Rodrigues Leite
AC;1200401;Rio Branco;76;P000017399;Escola Estadual Professor Sebastião Pedrosa
AC;1200401;Rio Branco;77;P000017383;Escola Jornalista José Chalub Leite
AC;1200401;Rio Branco;78;P000003692;Escola Marechal Humberto de Alencar Castelo Branco
