SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200013;ACRELANDIA;50013;P72226;UAB- UNIVERSIDADE ABERTA DO BRASIL- POLO  DE APOIO PRESENCIAL DE ACRELÂNDIA
AC;1200104;BRASILEIA;50007;P71323;INSTITUTO ODILON PRATAGI
AC;1200203;CRUZEIRO DO SUL;50008;P71121;UNIVERSIDADE FEDERAL DO ACRE - CAMPUS FLORESTA
AC;1200302;FEIJO;50011;P71434;ESCOLA ESTADUAL DE ENSINO MÉDIO JOSÉ GURGEL RABELLO
AC;1200336;MANCIO LIMA;50016;P72443;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E EJA BELARMINO DE MENDONÇA
AC;1200385;PLACIDO DE CASTRO;50014;P71856;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL JOSÉ FRANCISCO DA SILVA
AC;1200401;RIO BRANCO;50005;P72985;ESTÁCIO UNIMETA
AC;1200401;RIO BRANCO;50006;P72985;ESTÁCIO UNIMETA
AC;1200450;SENADOR GUIOMARD;50015;P71316;ESCOLA CÍVICO MILITAR ALDACI SIMÕES DA COSTA
AC;1200500;SENA MADUREIRA;50009;P71368;NÚCLEO DA UFAC DE SENA MADUREIRA
AC;1200609;TARAUACA;50010;P72717;ESCOLA DR. DJALMA DA CUNHA BATISTA
AC;1200708;XAPURI;50012;P71863;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE - IFAC - CAMPUS XAPURI
AL;2700300;ARAPIRACA;50413;P68792;UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL
AL;2700300;ARAPIRACA;50413;P68792;UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL
AL;2700805;BELEM;50418;P71732;ESCOLA ESTADUAL MARQUES DA SILVA
AL;2701407;CAMPO ALEGRE;50414;P71613;ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA MONSENHOR HILDEBRANDO VERISSÍMO GUIMARÃES
AL;2701506;CAMPO GRANDE;50419;P73183;ESCOLA DE ENS. FUND. E MÉDIO PROFESSOR DOUGLAS APRATTO TENÓRIO
AL;2702306;CORURIPE;50434;P72882;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA
AL;2702405;DELMIRO GOUVEIA;50417;P71703;UFAL - UNIVERSIDADE FEDERAL DE ALAGOAS - CAMPUS  DO SERTÃO
AL;2702900;GIRAU DO PONCIANO;50415;P71817;ESCOLA ESTADUAL DEPUTADO GILVAN BARROS
AL;2704302;MACEIO;50422;P68110;FACULDADE ESTÁCIO DE ALAGOAS - FAL
AL;2704302;MACEIO;50423;P68110;FACULDADE ESTÁCIO DE ALAGOAS - FAL
AL;2704302;MACEIO;50420;P69044;ANHANGUERA
AL;2704302;MACEIO;50421;P69044;ANHANGUERA
AL;2704500;MARAGOGI;50430;P71406;ESCOLA ESTADUAL BATISTA ACIOLI
AL;2704609;MARAVILHA;50424;P72837;ESCOLA ESTADUAL PROFESSOR ATANAGILDO BRANDÃO
AL;2704708;MARECHAL DEODORO;50425;P72161;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS MARECHAL DEODORO
AL;2705507;MURICI;50431;P72090;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PEDRO TENÓRIO RAPOSO
AL;2705705;OLHO DAGUA DAS FLORES;50436;P72107;ESCOLA ESTADUAL PADRE ANTÔNIO DUARTE
AL;2706307;PALMEIRA DOS INDIOS;50432;P68211;UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL CAMPUS III
AL;2706406;PAO DE ACUCAR;50433;P72089;FASVIPA - FACULDADE INTEGRADA SÃO VICENTE
AL;2706703;PENEDO;50435;P71407;INSTITUTO FEDERAL - CAMPUS PENEDO
AL;2707701;RIO LARGO;50426;P71480;ESCOLA ESTADUAL PROFESSORA CLAUDIZETE LIMA ELEUTÉRIO
AL;2708006;SANTANA DO IPANEMA;50437;P71685;EMEB SANTA SOFIA
AL;2708600;SAO MIGUEL DOS CAMPOS;50427;P71487;ESCOLA MUNICIPAL DESEMBARGADOR JOSÉ FERNANDO LIMA SOUZA
AL;2708808;SAO SEBASTIAO;50428;P72939;ESCOLA ESTADUAL PROFESSOR JOSE FELIX DE CARVALHO ALVES
AL;2709152;TEOTONIO VILELA;50416;P71321;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DOM AVELAR BRANDÃO VILELA
AL;2709301;UNIAO DOS PALMARES;50429;P71255;ESCOLA ESTADUAL DR. PAULO DE CASTRO SARMENTO
AM;1300607;BENJAMIN CONSTANT;50118;P71690;UFAM-INSTITUTO DE NATUREZA E CULTURA
AM;1300680;BOA VISTA DO RAMOS;50111;P71263;NÚCLEO DE ENSINO SUPERIOR DE BOA VISTA DO RAMOS - UEA
AM;1300706;BOCA DO ACRE;50108;P72727;ESCOLA ESTADUAL BARÃO DE BOCA DO ACRE
AM;1300805;BORBA;50121;P71164;ESCOLA ESTADUAL LOTHAR SUSSMANN
AM;1300839;CAAPIRANGA;50128;P72736;ESCOLA ESTADUAL CARMINA DE CASTRO
AM;1301001;CARAUARI;50129;P72971;NÚCLEO DE ENSINO SUPERIOR DE CARAUARI
AM;1301100;CAREIRO;50126;P74759;ESCOLA ESTADUAL MARÇAL MACHADO GIRÃO
AM;1301209;COARI;50109;P71543;UEA - NÚCLEO DE ENSINO SUPERIOR DE COARI
AM;1301308;CODAJAS;50123;P71870;ESCOLA ESTADUAL PROFESSOR LUIZ GONZAGA DE SOUZA FILHO
AM;1301704;HUMAITA;50137;P72001;IEAA/UFAM - INSTITUTO DE EDUCAÇÃO, AGRICULTURA E AMBIENTE
AM;1301852;IRANDUBA;50115;P71397;ESCOLA ESTADUAL ISAÍAS VASCONCELOS
AM;1301902;ITACOATIARA;50119;P70619;UFAM - CAMPUS MOYSÉS BENARROS ISRAEL
AM;1302504;MANACAPURU;50116;P71245;ESCOLA ESTADUAL VIRGILIA ALEXANDRE MADDY
AM;1302603;MANAUS;50130;P72997;UNIVERSIDADE NILTON LINS - CAMPUS PARQUE DAS LARANJEIRAS
AM;1302603;MANAUS;50131;P72997;UNIVERSIDADE NILTON LINS - CAMPUS PARQUE DAS LARANJEIRAS
AM;1302603;MANAUS;50132;P72997;UNIVERSIDADE NILTON LINS - CAMPUS PARQUE DAS LARANJEIRAS
AM;1302603;MANAUS;50133;P72997;UNIVERSIDADE NILTON LINS - CAMPUS PARQUE DAS LARANJEIRAS
AM;1302603;MANAUS;50134;P72997;UNIVERSIDADE NILTON LINS - CAMPUS PARQUE DAS LARANJEIRAS
AM;1302603;MANAUS;50135;P72997;UNIVERSIDADE NILTON LINS - CAMPUS PARQUE DAS LARANJEIRAS
AM;1302603;MANAUS;50136;P72997;UNIVERSIDADE NILTON LINS - CAMPUS PARQUE DAS LARANJEIRAS
AM;1302702;MANICORE;50122;P71610;NÚCLEO DE ESTUDOS SUPERIORES DE MANICORÉ - UEA
AM;1302900;MAUES;50112;P71899;UNIVERSIDADE DO ESTADO DO AMAZONAS - UEA - MAUÉS
AM;1303106;NOVA OLINDA DO NORTE;50120;P72644;INSTITUTO FACUP - FAMETRO - POLO NOVA OLINDA
AM;1303205;NOVO AIRAO;50114;P73844;ESCOLA ESTADUAL JOAQUIM DE PAULA
AM;1303403;PARINTINS;50113;P70882;CENTRO DE ESTUDOS SUPERIORES DE PARINTINS - CESP UEA
AM;1303536;PRESIDENTE FIGUEIREDO;50125;P72180;CETI MARIA EVA DOS SANTOS
AM;1303569;RIO PRETO DA EVA;50127;P74723;ESCOLA MUNICIPAL GOVERNADOR GILBERTO MESTRINHO
AM;1303809;SAO GABRIEL DA CACHOEIRA;50124;P74708;ESCOLA ESTADUAL SAGRADA FAMÍLIA
AM;1304062;TABATINGA;50117;P71746;CENTRO DE ESTUDOS SUPERIORES DE TABATINGA - UEA
AM;1304203;TEFE;50110;P71128;CENTRO DE ESTUDOS SUPERIORES DE TEFE - CEST - UEA
AP;1600279;LARANJAL DO JARI;50003;P72710;INSTITUTO FEDERAL DO AMAPÁ
AP;1600303;MACAPA;50000;P70189;FACULDADE ESTÁCIO - SEAMA
AP;1600501;OIAPOQUE;50002;P71268;UNIVERSIDADE FEDERAL DO AMAPÁ - UNIFAP - CAMPUS BINACIONAL
AP;1600535;PORTO GRANDE;50004;P72926;INSTITUTO FEDERAL CIÊNCIAS E TECNOLOGIA DO AMAPÁ - CAMPUS PORTO GRANDE
AP;1600600;SANTANA;50001;P70497;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DDO AMAPÁ - CAMPUS SANTANA
BA;2900108;ABAIRA;50753;P72204;COLÉGIO ESTADUAL DR FRANCISCO ROCHA FILHO
BA;2900702;ALAGOINHAS;50664;P70997;COLÉGIO MODELO LUÍS EDUARDO MAGALHÃES
BA;2900702;ALAGOINHAS;50663;P71000;COLÉGIO ESTADUAL SÃO FRANCISCO
BA;2901007;AMARGOSA;50668;P71566;COLÉGIO ESTADUAL PEDRO CALMON
BA;2901106;AMELIA RODRIGUES;50754;P72844;COLÉGIO MUNICIPAL GOVERNADOR LUIZ VIANA FILHO
BA;2902104;ARACI;50781;P71803;CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DE ARACI - CETEP ARACI
BA;2902708;BARRA;50669;P73367;COLÉGIO ESTADUAL DE TEMPO INTEGRAL BARRA
BA;2902807;BARRA DA ESTIVA;50672;P71754;COLÉGIO ESTADUAL DE TEMPO INTEGRAL PROFESSORA ANA LÚCIA AGUIAR VIANA - CENAD 1
BA;2903201;BARREIRAS;50671;P70796;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA (UFOB) - CAMPUS BARREIRAS
BA;2903904;BOM JESUS DA LAPA;50670;P71512;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA (UFOB) - CAMPUS BOM JESUS DA LAPA
BA;2904100;BOQUIRA;50735;P72754;ESCOLA MUNICIPAL  ANTÔNIO CARLOS MAGALHÃES
BA;2904605;BRUMADO;50673;P71195;ESCOLA MUNICIPAL EM TEMPO INTEGRAL PROFESSORA ZILDA LIMA NEVES
BA;2904753;BURITIRAMA;50674;P71890;COLÉGIO ANTÔNIO RODRIGUES VIANA
BA;2904902;CACHOEIRA;50787;P71819;CENTRO DE ARTES HUMANIDADES E LETRAS - CAHL/UFRB
BA;2905008;CACULE;50675;P71144;COLÉGIO ESTADUAL DE TEMPO INTEGRAL NORBERTO FERNANDES
BA;2905107;CAEM;50755;P73624;ESCOLA MUNICIPAL OTAVIO MANGABEIRA
BA;2905206;CAETITE;50676;P71249;UNIVERSIDADE DO ESTADO DA BAHIA (UNEB) - DEPARTAMENTO DE CIÊNCIAS HUMANAS (DCH) - CAMPUS VI
BA;2905602;CAMACAN;50717;P72621;GRUPO ESCOLAR PRESIDENTE MÉDICI
BA;2905701;CAMACARI;50677;P74301;CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DA REGIÃO METROPOLITANA DE SALVADOR - CETEP - RMS
BA;2905800;CAMAMU;50686;P71650;COLÉGIO ESTADUAL LUIZ ROGÉRIO DE SOUZA
BA;2906006;CAMPO FORMOSO;50780;P71928;UNIVERSIDADE PITÁGORAS - UNOPAR ANHANGUERA
BA;2906501;CANDEIAS;50678;P71815;COLÉGIO ESTADUAL LUIZ VIANA FILHO
BA;2906808;CANSANCAO;50692;P72567;ESCOLA MUNICIPAL PROFESSORA DIONÊ OLIVEIRA PASSOS
BA;2906873;CAPIM GROSSO;50722;P71944;ESCOLA MUNICIPAL OTAVIANO FERREIRA DOS SANTOS
BA;2907202;CASA NOVA;50756;P73276;FACULDADE ALFREDO NASSER
BA;2907509;CATU;50665;P72660;INSTITUTO FEDERAL BAIANO CAMPUS CATU
BA;2908101;COCOS;50687;P71585;COLÉGIO MUNICIPAL LEALDINO TEODORO DOS SANTOS
BA;2908200;CONCEICAO DA FEIRA;50757;P72814;COLÉGIO ESTADUAL DE TEMPO INTEGRAL DE CONCEIÇAO DA FEIRA
