SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200104;BRASILEIA;00001;F06649;ESCOLA ESTADUAL INSTITUTO ODILON PRATAGI
AC;1200104;BRASILEIA;00002;F06795;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL GETÚLIO VARGAS
AC;1200203;CRUZEIRO DO SUL;00015;F06651;ESCOLA ESTADUAL COLÉGIO CRISTAO CRUZEIRO
AC;1200203;CRUZEIRO DO SUL;00016;F06657;ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR FLODOARDO CABRAL
AC;1200302;FEIJO;00017;F06819;ESCOLA DE ENSINO FUNDAMENTAL FRANCISCO NUNES LEITAO
AC;1200302;FEIJO;00018;F08753;ESCOLA DE ENSINO FUNDAMENTAL IMACULADA CONCEIÇAO
AC;1200401;RIO BRANCO;00003;F07497;CENTRO DE EDUCAÇAO DE JOVENS E ADULTOS- CEJA
AC;1200401;RIO BRANCO;00004;F06696;ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR JOSÉ RODRIGUES LEITE
AC;1200401;RIO BRANCO;00005;F06661;ESCOLA NEUTEL MAIA
AC;1200401;RIO BRANCO;00006;F07111;INSTITUTO DE EDUCAÇAO LOURENÇO FILHO
AC;1200401;RIO BRANCO;00007;F06641;ESCOLA BERTA VIEIRA DE ANDRADE
AC;1200401;RIO BRANCO;00008;F07463;ESCOLA GEORGETE ELUAN KALUME
AC;1200401;RIO BRANCO;00009;F07480;ESCOLA ZULEIDE PEREIRA DE SOUZA
AC;1200401;RIO BRANCO;00010;F14529;ESCOLA DE ENS. FUND.SERAFIM DA SILVA SALGADO
AC;1200401;RIO BRANCO;00011;F08687;EEEF GOVERNADOR JOSÉ AUGUSTO
AC;1200401;RIO BRANCO;00012;F06691;ESCOLA DE ENSINO FUNDAMENTAL I FRANCISCO SALGADO FILHO
AC;1200401;RIO BRANCO;00013;F06652;ESCOLA ESTADUAL  DE ENSINO FUNDAMENTAL E MÉDIO PE DIOGO FEIJÓ
AC;1200401;RIO BRANCO;00014;F08671;ESCOLA  ANICE DIB JATENE
AL;2700300;ARAPIRACA;00472;F06720;EEEB PROFA IZAURA ANTONIA DE LISBOA
AL;2700300;ARAPIRACA;00473;F06682;EEEB PROF JOSE QUINTELLA CAVALCANTI
AL;2700300;ARAPIRACA;00474;F06755;EE MANOEL ANDRE
AL;2700300;ARAPIRACA;00475;F06731;ESCOLA PROFA CLAUDECY BISPO DOS SANTOS
AL;2702405;DELMIRO GOUVEIA;00476;F08303;EE LUIZ AUGUSTO AZEVEDO MENEZES
AL;2704302;MACEIO;00477;F07003;E E DR RODRIGUEZ DE MELO
AL;2704302;MACEIO;00478;F06664;EE PROF THEOTONIO VILELA BRANDAO
AL;2704302;MACEIO;00479;F15353;EM DR POMPEU SARMENTO
AL;2704302;MACEIO;00480;F10758;E E  TAVARES BASTOS
AL;2704302;MACEIO;00481;F06923;E E MOREIRA E SILVA
AL;2704302;MACEIO;00482;F07703;E M DOUTOR JOSE CARNEIRO
AL;2704302;MACEIO;00483;F06695;E M JAIME DE ALTAVILLA
AL;2707305;PORTO CALVO;00484;F06674;ESCOLA ESTADUAL NOSSA SENHORA DA APRESENTAÇAO
AL;2707701;RIO LARGO;00485;F14495;ESCOLA ESTADUAL PROFESSORA CLAUDIZETE LIMA ELEUTÉRIO
AL;2708006;SANTANA DO IPANEMA;00488;F13278;ESCOLA ESTADUAL ORMINDO BARROS
AL;2708600;SAO MIGUEL DOS CAMPOS;00486;F07734;ESCOLA MUNICIPAL DR. IRAMILTON LEITE
AL;2709301;UNIAO DOS PALMARES;00487;F15355;ESCOLA ESTADUAL DR. PAULO DE CASTRO SARMENTO
AM;1301704;HUMAITA;00143;F07073;ESCOLA ESTADUAL ÁLVARO MAIA
AM;1302504;MANACAPURU;00139;F13228;ESCOLA ESTADUAL VIRGILIA ALEXANDRE MADDY
AM;1302603;MANAUS;00133;F07018;3° CMPM - PROF WALDOCKE FRICKE DE LIRA
AM;1302603;MANAUS;00134;F07314;ESCOLA ESTADUAL TIRADENTES
AM;1302603;MANAUS;00135;F06898;EETI BILINGUE PROF° DJALMA DA CUNHA BATISTA
AM;1302603;MANAUS;00136;F06885;CETI ELISA BESSA FREIRE
AM;1302603;MANAUS;00137;F06863;CETI JOAO DOS SANTOS BRAGA
AM;1302603;MANAUS;00138;F07059;ESCOLA ESTADUAL PROF ROBERTO DOS SANTOS VIEIRA
AM;1303403;PARINTINS;00140;F08966;ESCOLA ESTADUAL DOM GINO MALVESTIO
AM;1303536;PRESIDENTE FIGUEIREDO;00141;F13126;ESCOLA DE TEMPO INTEGRAL MARIA EVA DOS SANTOS
AM;1303809;SAO GABRIEL DA CACHOEIRA;00142;F07177;ESCOLA ESTADUAL SAO GABRIEL
AP;1600279;LARANJAL DO JARI;00030;F07092;ESC. EST. MINEKO HAYASHIDA
AP;1600279;LARANJAL DO JARI;00031;F07478;ESCOLA ESTADUAL PROFa. SONIA HENRIQUE BARRETO
AP;1600303;MACAPA;00019;F07186;ESC EST PROF° GABRIEL ALMEIDA CAFÉ
AP;1600303;MACAPA;00020;F12316;ESCOLA ESTADUAL BARAO DO RIO BRANCO
AP;1600303;MACAPA;00021;F12191;ESCOLA DO NOVO SABER COLEGIO AMAPAENSE
AP;1600303;MACAPA;00022;F07303;ESCOLA ESTADUAL TIRADENTES
AP;1600303;MACAPA;00023;F07144;ESC EST PROF NANCY NINA DA COSTA
AP;1600303;MACAPA;00024;F15485;ESCOLA ESTADUAL PROFo CARLOS ALBERTO VIANA MARQUES
AP;1600303;MACAPA;00025;F07218;ESC EST RIVANDA NAZARE DA SILVA GUIMARAES
AP;1600303;MACAPA;00026;F07575;ESC EST PROFa RAIMUNDA DOS PASSOS SANTOS
AP;1600501;OIAPOQUE;00032;F07174;ESCOLA ESTADUAL JOAQUIM NABUCO
AP;1600501;OIAPOQUE;00033;F07217;UNIFAP - CAMPUS BINACIONAL DE OIAPOQUE
AP;1600600;SANTANA;00027;F07331;ESCOLA ESTADUAL ALMIRANTE BARROSO
AP;1600600;SANTANA;00028;F07208;ESCOLA E. PROFa ELIZABETH PICANÇO ESTEVES
AP;1600600;SANTANA;00029;F07648;E. E. JOSÉ BARROSO TOSTES
BA;2900702;ALAGOINHAS;00292;F01829;COLÉGIO ESTADUAL DE ALAGOINHAS
BA;2900702;ALAGOINHAS;00293;F01376;ESCOLA ESTADUAL OSCAR CORDEIRO
BA;2900702;ALAGOINHAS;00294;F02031;COLÉGIO MODELO LUIS EDUARDO MAGALHAES
BA;2900702;ALAGOINHAS;00295;F01116;COLÉGIO ESTADUAL LUIZ NAVARRO DE BRITO
BA;2900702;ALAGOINHAS;00296;F01974;COLÉGIO ESTADUAL SAO FRANCISCO
BA;2901007;AMARGOSA;00297;F01958;COLÉGIO ESTADUAL SANTA BERNADETE
BA;2903201;BARREIRAS;00300;F00800;UNEB - UNIVERSIDADE DO ESTADO DA BAHIA
BA;2903201;BARREIRAS;00301;F00139;COLÉGIO MUNICIPAL PADRE VIEIRA
BA;2903201;BARREIRAS;00302;F02679;UFOB - UNIVERSIDADE FEDERAL DO OESTE DA BAHIA
BA;2903904;BOM JESUS DA LAPA;00298;F04716;ESCOLA MUNICIPALIZADA WILSON LINS
BA;2903904;BOM JESUS DA LAPA;00299;F07754;ESCOLA MUNICIPALIZADA PADRE FRANCISCO DA SOLEDADE
BA;2904605;BRUMADO;00303;F01764;ESCOLA MUNICIPAL SANTA RITA DE CASSIA
BA;2904605;BRUMADO;00304;F01771;CEMEAS CENTRO MUNICIPAL DE EDUCACAO AGAMENON SANTANA
BA;2904605;BRUMADO;00305;F01766;ESCOLA MUNICIPAL PROFA. CLARICE MORAIS DOS SANTOS
BA;2905206;CAETITE;00306;F01403;ESCOLA MUNICIPAL SENADOR OVÍDIO TEIXEIRA
BA;2905206;CAETITE;00307;F01511;ESCOLA MUNICIPAL EPONINA ZITA DOS SANTOS GUMES
BA;2905206;CAETITE;00308;F01553;ESCOLA MUNICIPAL DE APLICAÇAO
BA;2905206;CAETITE;00309;F01725;COMPLEXO INTEGRADO DE EDUCAÇAO BÁSICA, PROFISSIONAL E TECNOLÓGICA - CIEBTEC CAETITÉ-BA
BA;2905701;CAMACARI;00310;F00694;COLEGIO ESTADUAL POLIVALENTE DE CAMAÇARI
BA;2905701;CAMACARI;00311;F00698;COLÉGIO ESTADUAL JOSÉ DE FREITAS MASCARENHAS
BA;2905701;CAMACARI;00312;F00216;COLÉGIO ESTADUAL GONÇALO MUNIZ
BA;2910057;DIAS D AVILA;00313;F07897;CENTRO TERRITORIAL DE EDUCAÇAO PROFISSIONAL DE DIAS D AVILA
BA;2910727;EUNAPOLIS;00317;F01996;COMPLEXO INTEGRADO DE EDUCAÇAO DE EUNÁPOLIS
BA;2910800;FEIRA DE SANTANA;00318;F03808;COLÉGIO MODELO LUIS EDUARDO MAGALHAES
BA;2910800;FEIRA DE SANTANA;00319;F03070;COLÉGIO ESTADUAL DE  TEMPO INTEGRAL PROFESSORA CARMINDA MASCARENHAS VIEIRA
BA;2910800;FEIRA DE SANTANA;00320;F05665;COLEGIO ESTADUAL GEORGINA DE MELO ERISMANN
BA;2910800;FEIRA DE SANTANA;00321;F03805;CENTRO INTEGRADO DE EDUCAÇAO ASSIS CHATEAUBRIAND
BA;2910800;FEIRA DE SANTANA;00322;F03855;COLÉGIO ESTADUAL ODORICO TAVARES
BA;2910800;FEIRA DE SANTANA;00323;F12806;COLÉGIO ESTADUAL GOVERNADOR LUIZ VIANA FILHO
BA;2910800;FEIRA DE SANTANA;00324;F04361;COLÉGIO ESTADUAL TEOTÔNIO VILELA
BA;2910800;FEIRA DE SANTANA;00325;F03789;COLÉGIO ESTADUAL DE TEMPO INTEGRAL PROFESSORA ANA ALICE FIGUEIREDO DOS SANTOS
BA;2913606;ILHEUS;00331;F02379;UESC - UNIVERSIDADE ESTADUAL DE SANTA CRUZ
BA;2913606;ILHEUS;00332;F02379;UESC - UNIVERSIDADE ESTADUAL DE SANTA CRUZ
BA;2913606;ILHEUS;00333;F02379;UESC - UNIVERSIDADE ESTADUAL DE SANTA CRUZ
BA;2913606;ILHEUS;00334;F02379;UESC - UNIVERSIDADE ESTADUAL DE SANTA CRUZ
BA;2914000;IPIRA;00326;F03561;CETEP BACIA DO JACÚIPE PROFo LUIZ CARLOS ARAÚJO
BA;2914604;IRECE;00329;F02208;COLEGIO ESTADUAL LUIZ VIANA FILHO
BA;2914604;IRECE;00330;F03426;COLEGIO ESTADUAL PROF. JORGE RODRIGUES DOS SANTOS
BA;2914703;ITABERABA;00339;F15078;COLÉGIO MODELO LUÍS EDUARDO MAGALHAES
BA;2914703;ITABERABA;00340;F15079;DEPARTAMENTO DE EDUCAÇAO - CAMPUS XIII - UNEB
BA;2914802;ITABUNA;00335;F05322;COMPLEXO INTEGRADO DE EDUCAÇAO BÁSICA, PROFISSIONAL E TECNOLÓGICA DE ITABUNA - TEMPO INTEGRAL ( CIEBTEC). ANTIGO COLÉGIO ESTADUAL DE ITABUNA
BA;2914802;ITABUNA;00336;F08196;CENTRO ESTADUAL DE EDUCAÇAO PROFISSIONAL EM BIOTECNOLOGIA E SAUDE
