SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200203;Cruzeiro do Sul;01243;F0386;CENTRO SOCIOEDUCATIVO JURUÁ
AC;1200302;Feijó;01248;F0944;CENTRO SOCIOEDUCATIVO FEIJÓ
AC;1200401;Rio Branco;01246;F0943;CENTRO SOCIOEDUCATIVO ACRE
AC;1200401;Rio Branco;01247;F0945;CENTRO SOCIOEDUCATIVO MOCINHA MAGALHÃES
AC;1200401;Rio Branco;01247;F0945;CENTRO SOCIOEDUCATIVO MOCINHA MAGALHÃES
AC;1200401;Rio Branco;01244;F1709;CENTRO SOCIOEDUCATIVO SANTA JULIANA
AC;1200401;Rio Branco;01245;F1959;CENTRO SOCIOEDUCATIVO AQUIRY
AC;1200500;Sena Madureira;01249;F0385;CENTRO SOCIOEDUCATIVO PURUS
AL;2702900;Girau do Ponciano;80078;G18373;UNIDADE PRISIONAL DO AGRESTE
AL;2704302;Maceió;80068;G13740;CENTRO PSIQUIATRICO JUD PEDRO MARINHO SURUAGY
AL;2704302;Maceió;80069;G13741;ESTAB PRISIONAL FEMININO SANTA LUZIA - EPSL
AL;2704302;Maceió;80070;G13742;CASA DE CUSTODIA DA CAPITAL
AL;2704302;Maceió;80062;G13743;PENIT MASC BALDOMERO CAVALCANTE DE OLIVEIRA PMBCO
AL;2704302;Maceió;80063;G13744;PRES SEG MEDIA MASC PROF CYRIDIAO DURVAL E SILVA
AL;2704302;Maceió;80071;G15999;COLONIA AGROINDUSTRIAL SAO LEONARDO - CAISL
AL;2704302;Maceió;80064;G16000;ESTAB PRISIONAL RUBENS BRAGA QUINTELLA CAVALCANTI
AL;2704302;Maceió;80065;G16001;UNIDADE DE INTERNAÇAO JOVENS E ADULTOS UIJA
AL;2704302;Maceió;80066;G18374;PRESIDIO DE SEGURANÇA MAXIMA
AL;2704302;Maceió;80059;G27589;UNIDADE DE INTERNAÇAO FEMININA
AL;2704302;Maceió;80067;G27590;UNIDADE DE INTERNACAO MASCULINA
AL;2704302;Maceió;80060;G27593;UNIDADE DE INTERNAÇAO MASCULINA EXTENSAO II
AL;2704302;Maceió;80057;G27596;UNIDADE DE INTERNAÇAO MASCULINA II
AL;2704302;Maceió;80056;G27597;UNIDADE DE SEMILIBERDADE MASCULINA
AL;2704302;Maceió;80072;G33275;UNIDADE DE INCLUSAO SOCIAL
AL;2704302;Maceió;80061;G33277;UNIDADE DE INTERNAÇÃO PROVISÓRIA MASCULINA
AL;2704302;Maceió;80073;G39398;PENITENCIARIA DE SEGURANÇA MAXIMA
AL;2704302;Maceió;80074;G39399;UNIDADE DE INT MASCULINA DE JOVENS E ADULTOS 3
AL;2704302;Maceió;80075;G39400;UNIDADE DE INTERNAÇAO MASCULINA EXTENCAO 3
AL;2704302;Maceió;80058;G39401;UNIDADE DE SEMILIBERDADE MASCULINA PEIXOTO
AL;2704302;Maceió;80076;G39411;UNIDADE DE INTERNACAO MASC DE JOVENS E ADULTOS 2
AL;2707701;Rio Largo;80077;G39402;UNIDADE DE INTERNAÇAO PROVISORIA MASC RIO LARGO
AM;1301902;Itacoatiara;50010;D50001207;UNIDADE PRISIONAL DE ITACOATIARA
AM;1302603;Manaus;50007;D50000371;CADEIA PÚBLICA FEMININA DE MANAUS -ANEXO PFM-AM
AM;1302603;Manaus;50003;D50000373;UNIDADE PRISIONAL DO PURAQUEQUARA
AM;1302603;Manaus;50005;D50000654;INSTITUTO PENAL ANTÔNIO TRINDADE
AM;1302603;Manaus;50006;D50000655;COMPLEXO PENITENCIÁRIO ANISIO JOBIM - REGIME SEMIABERTO
AM;1302603;Manaus;50001;D50001206;PENITENCIARIA FEMININA DE MANAUS -COMPAJ
AM;1302603;Manaus;50002;D50001208;CENTRO DE DETENÇÃO PROVISÓRIA DE MANAUS
AM;1302603;Manaus;50004;D50001334;CENTRO SOCIOEDUCATIVO DAGMAR FEITOZA
AM;1302900;Maués;50011;D50000923;UNIDADE PRISIONAL DE MAUES
AM;1303403;Parintins;50008;D50000111;UNIDADE PRISIONAL DE PARINTINS
AM;1304062;Tabatinga;50009;D50000112;UNIDADE PRISIONAL DE TABATINGA
AP;1600303;Macapá;80010;G15932;PENIT FEMININA DO ESTADO DO AMAPA
AP;1600303;Macapá;80011;G15933;PENIT MASC ESTADO DO AMAPÁ / REGIME FECHADO
AP;1600303;Macapá;80012;G15934;COLONIA PENAL DO ESTADO DO AMAPA
AP;1600303;Macapá;80013;G15935;CENTRO DE CUSTODIA DO ESTADO DO AMAPA
