SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200013;ACRELANDIA;242;P55369;ESCOLA PÚBLICA ESTADUAL DE ENSINO FUNDAMENTAL PROFESSOR PEDRO DE CASTRO MEIRELES
AC;1200013;ACRELANDIA;243;P59343;ESCOLA PÚBLICA ESTADUAL DE ENSINO MÉDIO PROFESSOR  MARCÍLIO PONTES DOS SANTOS
AC;1200104;BRASILEIA;245;P56941;INSTITUTO ODILON PRATAGI
AC;1200104;BRASILEIA;244;P57036;ESCOLA ESTADUAL DE ENSINO JOVEM KAIRALA JOSÉ KAIRALA
AC;1200104;BRASILEIA;246;P71478;ESCOLA FUNDAMENTAL JOSÉ RUY DA SILVEIRA LINO
AC;1200203;CRUZEIRO DO SUL;314;P60540;ESCOLA ESTADUAL DR. VALÉRIO CALDAS DE MAGALHÃES
AC;1200203;CRUZEIRO DO SUL;321;P61475;ESCOLA ESTADUAL DE ENSINO MÉDIO INTEGRAL CRAVEIRO COSTA
AC;1200203;CRUZEIRO DO SUL;322;P62583;EEM PROFESSOR FLODOARDO CABRAL
AC;1200203;CRUZEIRO DO SUL;310;P63433;INSTITUTO FEDERAL DO ACRE (IFAC)
AC;1200203;CRUZEIRO DO SUL;323;P64524;COLÉGIO MILITAR ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO DOM PEDRO II - CZS
AC;1200203;CRUZEIRO DO SUL;309;P64829;UNIVERSIDADE FEDERAL DO ACRE - CAMPUS FLORESTA
AC;1200203;CRUZEIRO DO SUL;313;P64829;UNIVERSIDADE FEDERAL DO ACRE - CAMPUS FLORESTA
AC;1200203;CRUZEIRO DO SUL;317;P65245;EEEF PROFESSOR ANTÔNIO DE BARROS FREIRE
AC;1200203;CRUZEIRO DO SUL;312;P66346;EEEF JOÃO KUBITSCHEK
AC;1200203;CRUZEIRO DO SUL;311;P66718;ESCOLA ESTADUAL MARIA LIMA DE SOUZA
AC;1200203;CRUZEIRO DO SUL;315;P68204;ITPAC - CRUZEIRO DO SUL
AC;1200203;CRUZEIRO DO SUL;320;P68738;EMEF CORAZITA NEGREIROS
AC;1200203;CRUZEIRO DO SUL;319;P68938;EEF ABSOLOM MOREIRA
AC;1200203;CRUZEIRO DO SUL;318;P70222;EEM DOM HENRIQUE RUTH
AC;1200203;CRUZEIRO DO SUL;316;P70358;ESCOLA CÍVICO-MILITAR MADRE ADELGUNDES BECKER - CZS
AC;1200203;CRUZEIRO DO SUL;324;P70834;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL HUGO CARNEIRO
AC;1200302;FEIJO;328;P57427;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL RAIMUNDO AUGUSTO DE ARAÚJO
AC;1200302;FEIJO;329;P58709;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL IMACULADA CONCEIÇÃO
AC;1200302;FEIJO;331;P58725;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL FRANCISCO NUNES LEITÃO
AC;1200302;FEIJO;330;P58940;ESCOLA ESTADUAL DE ENSINO MÉDIO JOSÉ GURGEL RABELLO
AC;1200328;JORDAO;332;P56188;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MANOEL RODRIGUES DE FARIAS
AC;1200336;MANCIO LIMA;327;P58979;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO BELARMINO DE MENDONÇA
AC;1200336;MANCIO LIMA;326;P59683;COLÉGIO MUNICIPAL PADRE EDSON DE OLIVEIRA DANTAS
AC;1200336;MANCIO LIMA;325;P60726;ESCOLA ESTADUAL FRANCISCO FREIRE DE CARVALHO
AC;1200351;MARECHAL THAUMATURGO;333;P59856;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL II JUSTINIANO DE SERPA
AC;1200351;MARECHAL THAUMATURGO;334;P60155;ESCOLA ESTADUAL DE ENSINO MÉDIO ELVIRA FERREIRA GOMES
AC;1200385;PLACIDO DE CASTRO;335;P57043;EEEF JOSÉ FRANCISCO DA SILVA
AC;1200385;PLACIDO DE CASTRO;336;P63835;ESCOLA JOÃO RICARDO DE FREITAS
AC;1200393;PORTO WALTER;337;P56253;ESCOLA ESTADUAL BORGES DE AQUINO ENSINO FUNDAMENTAL E MÉDIO
AC;1200401;RIO BRANCO;272;P59926;ESCOLA ESTADUAL DE ENSINO MÉDIO (EDUCAÇÃO INTEGRAL) GLÓRIA PEREZ
AC;1200401;RIO BRANCO;253;P59957;ESCOLA DE ENSINO FUNDAMENTAL PADRE ANTÔNIO DIOGO FEIJÓ
AC;1200401;RIO BRANCO;274;P59973;EEEF ZULEIDE PEREIRA DE SOUZA
AC;1200401;RIO BRANCO;255;P60120;COLÉGIO ACREANO
AC;1200401;RIO BRANCO;280;P61051;ESTÁCIO UNIMETA
AC;1200401;RIO BRANCO;281;P61051;ESTÁCIO UNIMETA
AC;1200401;RIO BRANCO;250;P61837;COLÉGIO MILITAR DOM PEDRO II
AC;1200401;RIO BRANCO;282;P62375;INSTITUTO FEDERAL ACRE (IFAC) - CAMPUS RIO BRANCO
AC;1200401;RIO BRANCO;262;P62498;INSTITUTO DE EDUCAÇÃO LOURENÇO FILHO
AC;1200401;RIO BRANCO;257;P63401;EEEFM MARILDA GOUVEIA VIANA
AC;1200401;RIO BRANCO;263;P63426;ESCOLA ESTADUAL ENSINO FUNDAMENTAL E MÉDIO DRº MÁRIO DE OLIVEIRA
AC;1200401;RIO BRANCO;293;P64056;CENTRO DE EDUCAÇÃO DE JOVENS E ADULTO-CEDUC
AC;1200401;RIO BRANCO;259;P64074;ESCOLA ESTADUAL PAULO FREIRE
AC;1200401;RIO BRANCO;252;P64162;ESCOLA ESTADUAL DE ENSINO JOVEM BOA UNIÃO
AC;1200401;RIO BRANCO;267;P64171;ESCOLA DE ENSINO FUNDAMENTAL 1 FRANCISCO SALGADO FILHO
AC;1200401;RIO BRANCO;268;P64237;EEFM LOURIVAL SOMBRA PEREIRA LIMA
AC;1200401;RIO BRANCO;265;P64288;ESCOLA MUNICIPAL ANICE DIB JATENE
AC;1200401;RIO BRANCO;285;P64447;COLÉGIO ESTADUAL BARÃO DO RIO BRANCO
AC;1200401;RIO BRANCO;294;P64480;CENTRO UNIVERSITÁRIO UNINORTE
AC;1200401;RIO BRANCO;295;P64480;CENTRO UNIVERSITÁRIO UNINORTE
AC;1200401;RIO BRANCO;264;P64756;ESCOLA ESTADUAL GEORGETE ELUAN KALUME
AC;1200401;RIO BRANCO;271;P64774;EEE ROBERTO SANCHES MUBÁRAC
AC;1200401;RIO BRANCO;301;P65295;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JUVENAL ANTUNES
AC;1200401;RIO BRANCO;269;P65301;EEFE THEODOLINA FALCÃO MACEDO
AC;1200401;RIO BRANCO;275;P65307;EEEF DOUTOR PIMENTEL GOMES
AC;1200401;RIO BRANCO;273;P65309;EEEFM PROFESSORA BERTA VIEIRA DE ANDRADE
AC;1200401;RIO BRANCO;260;P65311;EEEM PROFª. CLÍCIA GADELHA
AC;1200401;RIO BRANCO;300;P66170;EEEF PROF. ILKA MARIA DE LIMA
