SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200203;CRUZEIRO DO SUL;17;F06647;ESCOLA ESTADUAL DE ENSINO MÉDIO INTEGRAL CRAVEIRO COSTA
AC;1200203;CRUZEIRO DO SUL;18;F06657;ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR FLODOARDO CABRAL
AC;1200203;CRUZEIRO DO SUL;19;F09242;ESCOLA ESTADUAL DE ENSINO MÉDIO DOM HENRIQUE RUTH
AC;1200401;RIO BRANCO;1;F07497;CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS- CEJA
AC;1200401;RIO BRANCO;2;F06631;COLÉGIO ESTADUAL BARÃO DO RIO BRANCO- CERB
AC;1200401;RIO BRANCO;3;F06696;ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR JOSÉ RODRIGUES LEITE
AC;1200401;RIO BRANCO;4;F06661;ESCOLA NEUTEL MAIA
AC;1200401;RIO BRANCO;5;F07111;INSTITUTO DE EDUCAÇÃO LOURENÇO FILHO
AC;1200401;RIO BRANCO;6;F06641;ESCOLA BERTA VIEIRA DE ANDRADE
AC;1200401;RIO BRANCO;7;F07463;ESCOLA GEORGETE ELUAN KALUME
AC;1200401;RIO BRANCO;8;F07480;ESCOLA ZULEIDE PEREIRA DE SOUZA
AC;1200401;RIO BRANCO;9;F14529;ESCOLA DE ENS. FUND.SERAFIM DA SILVA SALGADO
AC;1200401;RIO BRANCO;10;F08685;ESCOLA DE ENS. FUNDAMENTAL  CLÍNIO BRANDÃO
AC;1200401;RIO BRANCO;11;F06688;ESCOLA DE ENSINO  FUNDAMENTAL  LOURIVAL SOMBRA PEREIRA LIMA
AC;1200401;RIO BRANCO;12;F06691;ESCOLA DE ENSINO FUNDAMENTAL I FRANCISCO SALGADO FILHO
AC;1200401;RIO BRANCO;13;F06652;ESCOLA ESTADUAL  DE ENSINO FUNDAMENTAL E MÉDIO PE DIOGO FEIJÓ
AC;1200401;RIO BRANCO;14;F08671;ESCOLA  ANICE DIB JATENE
AC;1200401;RIO BRANCO;15;F06650;ESCOLA DE ENSINO FUNDAMENTAL RAIMUNDO GOMES DE OLIVEIRA
AC;1200401;RIO BRANCO;16;F06689;ESCOLA JORNALISTA ARMANDO NOGUEIRA
AC;1200500;SENA MADUREIRA;20;F15559;EEEF INSTITUTO SANTA JULIANA
AC;1200500;SENA MADUREIRA;21;F15668;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL FONTENELE DE CASTRO
AC;1200500;SENA MADUREIRA;22;F15851;ESCOLA RAIMUNDO HERMINIO DE MELO
AL;2700300;ARAPIRACA;113;F07848;EEF DOMINGOS LOPES DA SILVA
AL;2700300;ARAPIRACA;114;F06725;EE PADRE JEFFERSON DE CARVALHO
AL;2700300;ARAPIRACA;115;F06738;EE MANOEL LUCIO DA SILVA
AL;2700300;ARAPIRACA;116;F06720;EEEB PROFA IZAURA ANTONIA DE LISBOA
AL;2700300;ARAPIRACA;117;F06682;EEEB PROF JOSE QUINTELLA CAVALCANTI
AL;2700300;ARAPIRACA;118;F06742;EEEB ARTUR RAMOS
AL;2700300;ARAPIRACA;119;F15457;EEF PROFª  RENILDA DE ALBUQUERQUE
AL;2700300;ARAPIRACA;120;F06731;ESCOLA PROFA CLAUDECY BISPO DOS SANTOS
AL;2700300;ARAPIRACA;121;F06723;EEFTI PROF MARIO CESAR FONTES
AL;2700300;ARAPIRACA;122;F06719;EE SENADOR RUI PALMEIRA
AL;2700300;ARAPIRACA;123;F06757;EEEB COSTA RÊGO
AL;2700300;ARAPIRACA;124;F06740;EEEB LIONS CLUB
AL;2701308;CAJUEIRO;129;F15797;ESCOLA ESTADUAL INAURA CASADO COSTA
AL;2701308;CAJUEIRO;130;F16066;ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA CÍCERO CABRAL TOLEDO
AL;2702405;DELMIRO GOUVEIA;125;F08303;EE LUIZ AUGUSTO AZEVEDO MENEZES
AL;2702405;DELMIRO GOUVEIA;126;F11213;ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA GOVERNADOR AFRÂNIO SALGADO LAGES
AL;2702405;DELMIRO GOUVEIA;127;F13352;UNIVERSIDADE FEDERAL DE ALAGOAS - CAMPUS SERTÃO
AL;2702405;DELMIRO GOUVEIA;128;F14864;ESCOLA ESTADUAL DELMIRO GOUVEIA
AL;2704302;MACEIO;131;F06935;E E DR JOSE MARIA CORREIA DAS NEVES
AL;2704302;MACEIO;132;F07001;E E TARCISIO DE JESUS
AL;2704302;MACEIO;133;F07003;E E DR RODRIGUEZ DE MELO
AL;2704302;MACEIO;134;F06664;EE PROF THEOTONIO VILELA BRANDAO
AL;2704302;MACEIO;135;F06920;E E PROF THEONILO GAMA
AL;2704302;MACEIO;136;F13044;E.M. PROF LENILTO ALVES SANTOS
AL;2704302;MACEIO;137;F07749;E E PROFA MARIA DAS GRACAS DE SA TEIXEIRA
AL;2704302;MACEIO;138;F07700;E E PROF PEDRO TEIXEIRA DE VASCONCELOS
AL;2704302;MACEIO;139;F08489;EE DR FERNANDES LIMA
AL;2704302;MACEIO;140;F15353;EM DR POMPEU SARMENTO
AL;2704302;MACEIO;141;F07014;E E PROF EDMILSON DE VASCONCELOS PONTES
AL;2704302;MACEIO;142;F06580;EE PROF JOSE DA SILVEIRA CAMERINO
AL;2704302;MACEIO;143;F06583;EE PRINCESA ISABEL
AL;2704302;MACEIO;144;F13002;E.E. PROFA MARIA JOSE LOUREIRO
AL;2704302;MACEIO;145;F08455;E E PROFA BENEDITA DE CASTRO LIMA
AL;2704302;MACEIO;146;F06675;EE PROFA MARIA DA SALETE GUSMAO DE ARAUJO
AL;2704302;MACEIO;147;F15617;EE ALFREDO GASPAR DE MENDONÇA
AL;2704302;MACEIO;148;F07764;E E MARIA IVONE SANTOS DE OLIVEIRA
AL;2704302;MACEIO;149;F15615;EE ONELIA CAMPELO
AL;2704302;MACEIO;150;F08352;E E PROFA IRENE GARRIDO
AL;2704302;MACEIO;151;F06695;E M JAIME DE ALTAVILLA
AL;2704302;MACEIO;152;F15616;EE PROFA GILVANA ATAIDE CAVALCANTE CABRAL
AL;2704302;MACEIO;153;F07007;E E DOM OTAVIO BARBOSA AGUIAR
AL;2704500;MARAGOGI;154;F16153;EMEB RC DR. JOSÉ JORDE DE FARIAS SALES
AL;2705705;OLHO D AGUA DAS FLORES;167;F15794;ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA MARIA AUGUSTA SILVA MELO
AL;2706307;PALMEIRA DOS INDIOS;159;F16004;ESCOLA ESTADUAL GRACILIANO RAMOS
AL;2706307;PALMEIRA DOS INDIOS;160;F15998;ESCOLA ESTADUAL HUMBERTO MENDES
AL;2706307;PALMEIRA DOS INDIOS;161;F15956;UNIVERSIDADE ESTADUAL DE ALAGOAS-UNEAL CAMPUS III
AL;2706703;PENEDO;162;F15546;ESCOLA ESTADUAL DR ALCIDES ANDRADE
AL;2706703;PENEDO;163;F15547;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS PENEDO
AL;2706703;PENEDO;164;F16071;ESCOLA ESTADUAL PROF. ERNANI MERO
AL;2706703;PENEDO;165;F16072;ESCOLA  MUNICIPAL  MANOEL SOARES DE MELO
AL;2706703;PENEDO;166;F16073;E. M. E.B. BARÃO DE PENEDO
AL;2708006;SANTANA DO IPANEMA;168;F06670;ESCOLA ESTADUAL PROFESSOR MILENO FERREIRA DA SILVA
AL;2708006;SANTANA DO IPANEMA;169;F08146;ESCOLA ESTADUAL PROFESSORA LAURA MARIA CHAGAS DE ASSIS
AL;2708402;SAO JOSE DA TAPERA;170;F15952;EE LUCILO JOSÉ RIBEIRO
AL;2708600;SAO MIGUEL DOS CAMPOS;155;F07734;ESCOLA MUNICIPAL DR. IRAMILTON LEITE
