SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200401;RIO BRANCO;40002;G28720;UNIV ESTACIO UNIMETA
AL;2704302;MACEIO;40062;G211;CESMAC CAMPUS II - ED PROF ALBERTO ANTUNES
AL;2704302;MACEIO;40063;G20309;FAC ANHANGUERA MACEIO
AL;2704302;MACEIO;40064;G5385;FAC DA CIDADE DE MACEIO - FACIMA
AM;1302603;MANAUS;40003;G43044;INSTITUTO BENJAMIN CONSTANT - CETAM
AM;1302603;MANAUS;40004;G4376;IF DO AMAZONAS - CAMPUS MANAUS CENTRO
AM;1302603;MANAUS;40005;G42681;IF DO AMAZONAS - CAMPUS MANAUS ZONA LESTE
AM;1302603;MANAUS;40006;G49593;CETAM - ESCOLA DE EDUCACAO PROFISSIONAL - GALILEIA
AP;1600303;MACAPA;40015;G42999;FAC ANHANGUERA DE MACAPA
BA;2927408;SALVADOR;40068;G44928;UNIFACS - CAMPUS LAPA
BA;2927408;SALVADOR;40069;G50093;UNIRUY WYDEN
BA;2927408;SALVADOR;40070;G37282;FAC UNIME ANHANGUERA DE SALVADOR
BA;2927408;SALVADOR;40071;G44934;UNIFACS - CAMPUS TANCREDO NEVES
CE;2304400;FORTALEZA;40032;G28854;ESTACIO - CENTRO
CE;2304400;FORTALEZA;40033;G6932;UNIFANOR WYDEN - SEDE DUNAS
CE;2304400;FORTALEZA;40034;G17662;UNIV ESTACIO DE SA - PARANGABA
CE;2304400;FORTALEZA;40035;G14718;UNIV ESTACIO DE SA - VIA CORPUS - BLOCO E
CE;2304400;FORTALEZA;40036;G14401;ESTACIO - VIA CORPUS - BLOCOS A E B
CE;2304400;FORTALEZA;40037;G14401;ESTACIO - VIA CORPUS - BLOCOS A E B
CE;2307304;JUAZEIRO DO NORTE;40031;G44994;UFCA - CAMPUS JUAZEIRO DO NORTE
CE;2311603;REDENCAO;40030;G12373;UNILAB - CAMPUS DAS AURORAS
DF;5300108;BRASILIA;40023;G6904;UDF - CENTRO UNIVERSITARIO - CAMPUS 4R
DF;5300108;BRASILIA;40024;G6901;UDF - CENTRO UNIVERSITARIO - CAMPUS I
ES;3205309;VITORIA;40103;G263;FAESA
GO;5208707;GOIANIA;40021;G9998;PUC - PONTIFICIA UNIV CATOLICA DE GOIAS - CAMPUS V
GO;5208707;GOIANIA;40022;G9998;PUC - PONTIFICIA UNIV CATOLICA DE GOIAS - CAMPUS V
MA;2111300;SAO LUIS;40072;G43101;ESTACIO - SAO LUIS
MA;2111300;SAO LUIS;40073;G43244;IFMA CAMPUS SAO LUIS - MONTE CASTELO
MA;2111300;SAO LUIS;40074;G17983;ANHANGUERA
MA;2111300;SAO LUIS;40075;G28686;UNIV CEUMA - CAMPUS RENASCENCA
MG;3101607;ALFENAS;40089;G6120;EM ANTONIO JOAQUIM VIEIRA POLIVALENTE
MG;3106200;BELO HORIZONTE;40093;G45114;CENTRO UNIV NEWTON PAIVA - UNIDADE SILVA LOBO
MG;3106200;BELO HORIZONTE;40094;G45111;CENTRO UNIV NEWTON PAIVA - UNIDADE CARLOS LUZ
MG;3106200;BELO HORIZONTE;40095;G50710;FAC ANHANGUERA - CAMPUS ANTONIO CARLOS
MG;3106200;BELO HORIZONTE;40096;G38797;PUC MINAS - UNIDADE SAO GABRIEL
MG;3136702;JUIZ DE FORA;40099;G42920;ESTACIO JUIZ DE FORA - CAMPUS RIO BRANCO
MG;3138203;LAVRAS;40090;G50137;UNIV FEDERAL DE LAVRAS
MG;3143302;MONTES CLAROS;40100;G17881;UNIFIPMOC
MG;3146107;OURO PRETO;40091;G7995;IFMG - CAMPUS OURO PRETO
MG;3152501;POUSO ALEGRE;40092;G40800;FAC DE DIREITO DO SUL DE MINAS
MG;3162500;SAO JOAO DEL REI;40097;G48920;UFSJ - CAMPUS SANTO ANTONIO
MG;3170107;UBERABA;40101;G38825;UNIUBE - UNIV DE UBERABA
MG;3170206;UBERLANDIA;40102;G33265;FAC ANHANGUERA DE UBERLANDIA
MG;3171303;VICOSA;40098;G49988;UNIAO DE ENSINO SUPERIOR DE VICOSA - UNIDADE I
MS;5002704;CAMPO GRANDE;40017;G4921;UNIDERP
MS;5002704;CAMPO GRANDE;40018;G4921;UNIDERP
MS;5003702;DOURADOS;40019;G2629;UNIGRAN
MT;5103403;CUIABA;40020;G9531;UNIC - UNIV DE CUIABA
PA;1501402;BELEM;40008;G6911;FACI WYDEN
PA;1501402;BELEM;40009;G36364;UNAMA - UNIV DA AMAZONIA - ALCINDO CACELA
PA;1504208;MARABA;40010;G49281;GRAU TECNICO
PA;1504208;MARABA;40011;G48332;CLARETIANO COL/FAC
PA;1504208;MARABA;40012;G51322;UNISA
PA;1506807;SANTAREM;40013;G37481;UFOPA - CAMPUS RONDON
PA;1506807;SANTAREM;40014;G37479;UFOPA - CAMPUS TAPAJOS
PB;2504009;CAMPINA GRANDE;40043;G11879;ECI SOLON DE LUCENA
PB;2504009;CAMPINA GRANDE;40044;G9784;EEEFM SAO SEBASTIAO
PB;2504009;CAMPINA GRANDE;40045;G20223;EEEF ANTONIO VICENTE
