SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
AC;1200401;RIO BRANCO;1;P16797;UNIVERSIDADE FEDERAL DO ACRE (UFAC)
AC;1200401;RIO BRANCO;2;P16797;UNIVERSIDADE FEDERAL DO ACRE (UFAC)
BA;2927408;SALVADOR;16;P35312;UNIVERSIDADE FEDERAL DA BAHIA (UFBA) - FACULDADE DE MEDICINA DA BAHIA - P
BA;2927408;SALVADOR;17;P42;UNIVERSIDADE FEDERAL DA BAHIA (UFBA) - INSTITUTO DE CIÊNCIAS DA SAÚDE - I
DF;5300108;BRASILIA;20;P25167;UNIVERSIDADE DE BRASÍLIA (UNB) - BLOCO DE SALAS DE AULA - BSAN
DF;5300108;BRASILIA;18;P54780;UNIVERSIDADE DE BRASÍLIA (UNB) - BLOCO DE SALAS DE AULA - BSA SUL
DF;5300108;BRASILIA;19;P54780;UNIVERSIDADE DE BRASÍLIA (UNB) - BLOCO DE SALAS DE AULA - BSA SUL
MG;3106200;BELO HORIZONTE;15;P19375;UNIVERSIDADE FEDERAL DE MINAS GERAIS (UFMG) - CAD 1 - CAMPUS PAMPULHA
MS;5002704;CAMPO GRANDE;13;P11229;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL (UFMS) - COMPLEXO MULTIUSO 2
MS;5002704;CAMPO GRANDE;10;P20518;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL (UEMS) - UNIDADE CAMPO GRANDE
MS;5002704;CAMPO GRANDE;11;P20518;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL (UEMS) - UNIDADE CAMPO GRANDE
MS;5002704;CAMPO GRANDE;9;P22139;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL (UFMS)  - COMPLEXO MULTIUSO 1
MS;5002704;CAMPO GRANDE;14;P63074;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL  AGEAD
MS;5002704;CAMPO GRANDE;12;P63075;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL- INISA
PE;2611606;RECIFE;8;P1438;UFPE NIATE CCB/CCS
PE;2611606;RECIFE;7;P1439;UFPE - NIATE CFCH/CCSA
PE;2611606;RECIFE;6;P56722;CENTRO DE CIÊNCIAS EXATAS DA NATUREZA - CCEN ÁREA II - UFPE
PR;4106902;CURITIBA;31;P52386;(UFPR) - SETOR DE CIÊNCIAS DA SAÚDE - SEDE BOTÂNICO
PR;4106902;CURITIBA;27;P53942;(UFPR) - SETOR DE CIÊNCIAS AGRÁRIAS
PR;4106902;CURITIBA;29;P53944;(UFPR) - SETOR DE CIÊNCIAS DA SAÚDE - BLOCO DIDATICOII
PR;4106902;CURITIBA;26;P53988;(UFPR) - SETOR DE CIÊNCIAS SOCIAIS APLICADAS
PR;4106902;CURITIBA;30;P53988;(UFPR) - SETOR DE CIÊNCIAS SOCIAIS APLICADAS
PR;4106902;CURITIBA;28;P61890;UFPR -  SETOR DE CIÊNCIAS EXATAS - CENTRO POLITÉCNICO
RJ;3304557;RIO DE JANEIRO;25;P63091;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO - UERJ
RO;1100205;PORTO VELHO;4;P22936;INSTITUTO FEDERAL DE RONDÔNIA IFRO (CAMPUS PORTO VELHO - ZONA NORTE)
RO;1100205;PORTO VELHO;3;P59518;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIAS E TECNOLOGIA DE RONDÔNIA - IFRO CA
RS;4314902;PORTO ALEGRE;5;P62012;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - PRÉDIO 11209 - CAMPUS CENTRO
SP;3550308;SAO PAULO;21;P58741;FACULDADE DE TECNOLOGIA DE SÃO PAULO - FATEC SP
SP;3550308;SAO PAULO;23;P58741;FACULDADE DE TECNOLOGIA DE SÃO PAULO - FATEC SP
SP;3550308;SAO PAULO;24;P58741;FACULDADE DE TECNOLOGIA DE SÃO PAULO - FATEC SP
SP;3550308;SAO PAULO;22;P63038;ESCOLA ESTADUAL VISCONDE DE ITAÚNA
